page_type,page_slug,sport,age,section,product_or_item,specificity,notes
article,11-12-helmet-upgrade,football,11-12,intro,helmet,generic,
article,11-12-helmet-upgrade,football,11-12,intro,helmets,generic,
article,11-12-tune-up,multi-sport,11-12,intro,ball,generic,
article,13-14-bat-drop,baseball,13-14,intro,bat,generic,
article,13-14-bat-drop,baseball,13-14,intro,bats,generic,
article,13-14-cost-benefit,multi-sport,13-14,intro,ball,generic,
article,13-14-sportsmanship,multi-sport,13-14,intro,goal,generic,
article,15-plus-game-management,multi-sport,15-plus,intro,ball,generic,
article,15-plus-skate-baking,hockey,15-plus,intro,socks,generic,
article,15-plus-skate-baking,hockey,15-plus,intro,shin guard,generic,
article,15-plus-skate-baking,hockey,15-plus,intro,skates,generic,
article,15-plus-skate-baking,hockey,15-plus,intro,insoles,generic,
article,15-plus-volunteer-team,multi-sport,15-plus,intro,shirt,generic,
article,15-plus-walking-away,multi-sport,15-plus,intro,sticks,generic,
article,15-plus-walking-away,multi-sport,15-plus,intro,ball,generic,
article,15-plus-walking-away,multi-sport,15-plus,intro,goal,generic,
article,5-year-old-glove,baseball,5-7,intro,glove,generic,
article,5-year-old-glove,baseball,5-7,intro,goal,generic,
article,8-10-cleat-conversation,soccer,8-10,intro,cleats,generic,
article,8-10-cleat-conversation,soccer,8-10,intro,shoes,generic,
article,8-10-cleat-conversation,soccer,8-10,intro,jersey,generic,
article,8-10-cleat-conversation,soccer,8-10,intro,socks,generic,
article,8-10-cleat-conversation,soccer,8-10,intro,shin guards,generic,
article,8-10-practice,multi-sport,8-10,intro,cone,generic,
article,8-10-practice,multi-sport,8-10,intro,water bottle,generic,
article,car-kit,multi-sport,all-ages,intro,shoes,generic,
article,car-kit,multi-sport,all-ages,intro,socks,generic,
article,car-kit,multi-sport,all-ages,intro,mouthguard,generic,
article,car-kit,multi-sport,all-ages,intro,towel,generic,
article,car-kit,multi-sport,all-ages,intro,bag,generic,
article,car-kit,multi-sport,all-ages,intro,athletic tape,generic,
article,car-kit,multi-sport,all-ages,intro,tape,generic,
article,coaching-your-own-kid-in-front-of-the-team,baseball,8-10,Three habits that worked for me,adult to,generic,
article,first-parent-meeting,multi-sport,all-ages,intro,cleats,generic,
article,first-parent-meeting,multi-sport,all-ages,intro,shoes,generic,
article,first-parent-meeting,multi-sport,all-ages,intro,Jersey,generic,
article,first-parent-meeting,multi-sport,all-ages,intro,shirt,generic,
article,first-practice-plan,multi-sport,5-7,intro,ball,generic,
article,first-practice-plan,multi-sport,5-7,intro,balls,generic,
article,night-before-tryouts,multi-sport,11-12,intro,shoes,generic,
article,night-before-tryouts,multi-sport,11-12,intro,water bottle,generic,
article,night-before-tryouts,multi-sport,11-12,intro,towel,generic,
article,night-before-tryouts,multi-sport,11-12,intro,bag,generic,
article,rec-ball-5-7,multi-sport,5-7,intro,ball,generic,
article,rec-ball-5-7,multi-sport,5-7,intro,goal,generic,
article,tee-ball-strikeouts,baseball,5-7,intro,bat,generic,
article,tee-ball-strikeouts,baseball,5-7,intro,bats,generic,
article,tee-ball-strikeouts,baseball,5-7,intro,ball,generic,
article,tee-ball-strikeouts,baseball,5-7,intro,balls,generic,
article,the-13-to-14-quit-mid-season-call,multi-sport,13-14,intro,stick,generic,
article,the-5-to-7-lineup-card-fair-rotation-in-three-minutes,baseball,5-7,intro,bats,generic,
article,the-5-to-7-meltdown-after-a-strikeout,baseball,5-7,intro,bat,generic,
