status,code,url,note,sources
BROKEN,403,https://publications.aap.org/pediatrics/article/133/5/e1437/32855,HTTPError GET,acl-prevention-warmup.md
BROKEN,403,https://www.transportation.gov/individuals/aviation-consumer-protection/traveling-children,HTTPError GET,airport-pickup-non-parents.md
BROKEN,403,https://publications.aap.org/pediatrics/article/119/6/1242/70488,HTTPError GET,burnout-signs.md; growth-plates-basics.md
BROKEN,403,https://www.stopbullying.gov/,HTTPError GET,bullying-and-hazing.md; locker-room-culture.md
BROKEN,403,https://www.fmcsa.dot.gov/safety/motorcoach-safety,HTTPError GET,bus-charter-vetting.md
BROKEN,403,https://publications.aap.org/pediatrics/,HTTPError GET,cold-weather-practice.md; youth-hockey-safety-briefing.md
BROKEN,404,https://koreystringer.institute.uconn.edu/health-and-safety/sudden-cardiac-arrest/,HTTPError HEAD,aed-location-field-readiness.md
BROKEN,403,https://www.acacamps.org/,HTTPError GET,camp-counselor-vetting.md
BROKEN,403,https://www.redcross.org/take-a-class/cpr,HTTPError GET,cpr-for-parents.md
BROKEN,403,https://www.stopbullying.gov/cyberbullying,HTTPError GET,cyberbullying-team-apps.md
BROKEN,403,https://www.redcross.org/take-a-class/water-safety,HTTPError GET,diving-board-rules-supervision.md; hotel-pool-safety.md; open-water-swim-safety.md; pool-deck-rules.md; youth-swimming-safety-briefing.md
BROKEN,404,https://www.nata.org/practice-patient-care/health-issues/environmental,HTTPError HEAD,cold-weather-practice.md; hypothermia-on-the-field.md
BROKEN,403,https://www.fmcsa.dot.gov/regulations/hours-of-service,HTTPError GET,driver-fatigue-team-trips.md
BROKEN,403,https://www.redcross.org/take-a-class/lifeguarding,HTTPError GET,drowning-rescue-and-monitoring.md
BROKEN,403,https://www.nhtsa.gov/risky-driving/drowsy-driving,HTTPError GET,driver-fatigue-team-trips.md
BROKEN,404,https://www.teamusa.com/usa-diving,HTTPError HEAD,diving-board-rules-supervision.md
BROKEN,403,https://www.epilepsy.com/,HTTPError GET,febrile-seizure-on-field.md
BROKEN,403,https://www.nhtsa.gov/road-safety/15-passenger-vans,HTTPError GET,fifteen-passenger-van-risks.md
BROKEN,404,https://www.nata.org/practice-patient-care/health-issues/secondary-school-safety,HTTPError HEAD,emergency-action-plan-template.md
BROKEN,403,https://www.fmcsa.dot.gov/,HTTPError GET,fifteen-passenger-van-risks.md
BROKEN,404,https://www.usahockey.com/safety,HTTPError HEAD,hockey-equipment-safety.md; travel-team-rooming-chaperones.md; youth-hockey-safety-briefing.md
BROKEN,403,https://publications.aap.org/pediatrics/article/128/3/e741/30912,HTTPError GET,heat-and-hydration.md; heat-exhaustion-vs-heatstroke.md; heatstroke-right-now.md; hydration-baseline.md; summer-hydration-daily-plan.md
BROKEN,403,https://www.redcross.org/,HTTPError GET,hypothermia-on-the-field.md; missing-kid-at-tournament.md; stop-the-bleed-basics.md; tournament-safety-plan-checklist.md
BROKEN,404,https://www.ncaa.org/about/resources/research/probability-competing-beyond-high-school,HTTPError HEAD,identity-beyond-the-sport.md
BROKEN,403,https://journals.sagepub.com/home/ajs,HTTPError GET,knee-braces-youth-sport.md
