Club ID,Club Name,Club Director Name,Club Email Address,Club Phone number,Club Location/City,State,Club Area,Club Website,Role
SCSN-0001,Elevation Elite Volleyball Club,Dana R Sample,info@elevationelite.invalid,(555) 201-0001,Anaheim,CA,Orange County,https://elevationelite.invalid,Club Director
SCSN-0002,Cobra Volleyball Club,Kim T Placeholder,director@cobravb.invalid,(555) 201-0002,Banning,CA,Inland Empire,https://cobravb.invalid,Club Director
SCSN-0003,Beaumont Volleyball Club,,office@beaumontvb.invalid,(555) 201-0003,Beaumont,CA,Inland Empire,,Office
SCSN-0004,Top Flight Volleyball Club Inc,Alex J Fixture,registration@topflightvb.invalid,(555) 201-0004,Big Bear City,CA,Mountain,https://topflightvb.invalid,Registrar
SCSN-0005,Starlings Volleyball Clubs USA,Morgan P Example,info@starlingsclubs.invalid,(555) 201-0005,Carlsbad,CA,San Diego,https://starlingsclubs.invalid,Club Director
SCSN-0006,Bravo Athletics VBC,Riley Q Sample,riley.sample@bravoathletics.invalid,(555) 201-0006,Chino,CA,Inland Empire,,Club Director
SCSN-0007,Pointbreak Vbc,,info@pointbreakvbc.invalid,(555) 201-0007,Chula Vista,CA,San Diego,https://pointbreakvbc.invalid,Office
SCSN-0008,OC Volleyball Youth Foundation,Casey L Placeholder,admin@ocvyf.invalid,(555) 201-0008,Costa Mesa,CA,Orange County,https://ocvyf.invalid,Administrator
SCSN-0009,Laguna Coast Volleyball Club,Jordan M Fixture,director@lagunacoastvb.invalid,(555) 201-0009,Dana Point,CA,Orange County,https://lagunacoastvb.invalid,Club Director
SCSN-0010,Empower Volleyball Club Of Eastvale,,office@empowervbeastvale.invalid,(555) 201-0010,Eastvale,CA,Inland Empire,,Office
SCSN-0011,West Vbc Inc,Taylor N Example,taylor.example@westvbc.invalid,(555) 201-0011,Hermosa Beach,CA,South Bay,https://westvbc.invalid,President
SCSN-0012,Pch Volleyball Club,,registration@pchvb.invalid,(555) 201-0012,Irvine,CA,Orange County,https://pchvb.invalid,Registrar
SCSN-0013,Trailblazer Volleyball Inc,Avery S Sample,info@trailblazervb.invalid,(555) 201-0013,Irvine,CA,Orange County,https://trailblazervb.sportsengine.com,Club Director
SCSN-0014,La Jolla Volleyball Inc,Quinn B Placeholder,director@lajollavb.invalid,(555) 201-0014,La Jolla,CA,San Diego,https://lajollavb.invalid,Club Director
SCSN-0015,Apex 1 Volleyball Academy,,info@apex1va.invalid,(555) 201-0015,Long Beach,CA,South Bay,https://apex1va.invalid,Office
SCSN-0016,Beach Cities Volleyball Club,Reese K Fixture,director@beachcitiesvbc.invalid,(555) 201-0016,Manhattan Bch,CA,South Bay,https://beachcities-directory.invalid,Club Director
SCSN-0017,Surfside Volleyball Club Inc,,office@surfsidevb.invalid,(555) 201-0017,Manhattan Bch,CA,South Bay,https://surfsidevb.invalid,Office
SCSN-0018,Arcadia Volleyball Club,Skyler D Example,info@arcadiavbc.invalid,(555) 201-0018,Pasadena,CA,San Gabriel Valley,https://arcadiavbc-directory.invalid,Club Director
SCSN-0019,692 Beach Volleyball Club,,registration@692beach.invalid,(555) 201-0019,Poway,CA,San Diego,https://692beach.invalid,Registrar
SCSN-0020,Club 909 Volleyball Club,Rowan F Sample,director@club909vb.invalid,(555) 201-0020,Redlands,CA,Inland Empire,https://club909vb.invalid,Club Director
SCSN-0021,Coastal Thunder Volleyball,Emerson H Placeholder,info@coastalthundervb.invalid,(555) 201-0021,Oceanside,CA,San Diego,https://coastalthundervb.invalid,Club Director
SCSN-0022,High Desert Spikers Volleyball Club,,office@hdspikers.invalid,(555) 201-0022,Victorville,CA,High Desert,https://hdspikers.invalid,Office
SCSN-0023,Valley Crest Juniors VBC,Finley W Example,admin@valleycrestjrs.invalid,(555) 201-0023,Palmdale,CA,Antelope Valley,,Administrator
SCSN-0024,Harbor Reef Volleyball Academy,Sage V Fixture,director@harborreefva.invalid,(555) 201-0024,San Pedro,CA,South Bay,https://harborreefva.invalid,Club Director
SCSN-0025,Volleyball Club,Drew Y Sample,info@genericvb.invalid,(555) 201-0025,,CA,Unknown,,Club Director
SCSN-0026,Sunrise 14U Travel Team Roster,Parent Contact,parent@sunrise14u.invalid,(555) 201-0026,Fontana,CA,Inland Empire,,Parent
SCSN-0027,Mesa Ridge Volleyball Club,Jamie Z Placeholder,director@mesaridgevb.invalid,(555) 201-0027,Escondido,CA,San Diego,https://mesaridgevb.invalid,Club Director
SCSN-0028,Synergy Volleyball Club,,info@synergyvb.invalid,(555) 201-0028,Sherman Oaks,CA,San Fernando Valley,https://synergyvb.invalid,Office
