name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Beach Volleyball Camp at University of Hawaii Mānoa - All Skills Camp (AM Session) (Aug. 15–16, 2026)",volleyball,10,18,2026-08-15,2026-08-16,1105 Lower Campus Rd,Honolulu,HI,96822,"Join us this summer at the University of Hawaii Mānoa for fun and learning on the court! Campers of all abilities will train with Head Coach, Danny Alvarez, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-18, this camp in Hawaii is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Honolulu—sign up today!",$225,day,all,open,,,https://www.ussportscamps.com/volleyball/ussc/beach-volleyball-camp-hawaii,FALSE,FALSE,camp,,,medium
"Beach Volleyball Camp at University of Hawaii Mānoa - All Skills Camp (PM Session) (Aug. 15–16, 2026)",volleyball,10,18,2026-08-15,2026-08-16,1105 Lower Campus Rd,Honolulu,HI,96822,"Join us this summer at the University of Hawaii Mānoa for fun and learning on the court! Campers of all abilities will train with Head Coach, Danny Alvarez, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-18, this camp in Hawaii is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Honolulu—sign up today!",$225,day,all,open,,,https://www.ussportscamps.com/volleyball/ussc/beach-volleyball-camp-hawaii,FALSE,FALSE,camp,,,medium
"Beach Volleyball Camp at University of Hawaii Mānoa - All Skills Camp (AM Session) (Sep. 12–13, 2026)",volleyball,10,18,2026-09-12,2026-09-13,1105 Lower Campus Rd,Honolulu,HI,96822,"Join us this summer at the University of Hawaii Mānoa for fun and learning on the court! Campers of all abilities will train with Head Coach, Danny Alvarez, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-18, this camp in Hawaii is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Honolulu—sign up today!",$225,day,all,open,,,https://www.ussportscamps.com/volleyball/ussc/beach-volleyball-camp-hawaii,FALSE,FALSE,camp,,,medium
"Beach Volleyball Camp at University of Hawaii Mānoa - All Skills Camp (PM Session) (Sep. 12–13, 2026)",volleyball,10,18,2026-09-12,2026-09-13,1105 Lower Campus Rd,Honolulu,HI,96822,"Join us this summer at the University of Hawaii Mānoa for fun and learning on the court! Campers of all abilities will train with Head Coach, Danny Alvarez, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-18, this camp in Hawaii is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Honolulu—sign up today!",$225,day,all,open,,,https://www.ussportscamps.com/volleyball/ussc/beach-volleyball-camp-hawaii,FALSE,FALSE,camp,,,medium
"Beach Volleyball Camp at University of Hawaii Mānoa - Prospect Camp (Nov. 29, 2026)",volleyball,14,18,2026-11-29,2026-11-29,1105 Lower Campus Rd,Honolulu,HI,96822,"Join us this summer at the University of Hawaii Mānoa for fun and learning on the court! Campers of all abilities will train with Head Coach, Danny Alvarez, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-18, this camp in Hawaii is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Honolulu—sign up today!",$125,day,all,open,,,https://www.ussportscamps.com/volleyball/ussc/beach-volleyball-camp-hawaii,FALSE,FALSE,camp,,,medium
"Beach Volleyball Camp at University of Hawaii Mānoa - All Skills Camp (AM Session) (Dec. 4–5, 2026)",volleyball,10,18,2026-12-04,2026-12-05,1105 Lower Campus Rd,Honolulu,HI,96822,"Join us this summer at the University of Hawaii Mānoa for fun and learning on the court! Campers of all abilities will train with Head Coach, Danny Alvarez, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-18, this camp in Hawaii is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Honolulu—sign up today!",$225,day,all,open,,,https://www.ussportscamps.com/volleyball/ussc/beach-volleyball-camp-hawaii,FALSE,FALSE,camp,,,medium
"Beach Volleyball Camp at University of Hawaii Mānoa - All Skills Camp (PM Session) (Dec. 4–5, 2026)",volleyball,10,18,2026-12-04,2026-12-05,1105 Lower Campus Rd,Honolulu,HI,96822,"Join us this summer at the University of Hawaii Mānoa for fun and learning on the court! Campers of all abilities will train with Head Coach, Danny Alvarez, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-18, this camp in Hawaii is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Honolulu—sign up today!",$225,day,all,open,,,https://www.ussportscamps.com/volleyball/ussc/beach-volleyball-camp-hawaii,FALSE,FALSE,camp,,,medium
"NBC Volleyball Camp at Southside Sports Center - Complete Skills (June 1–4, 2026)",volleyball,9,12,2026-06-01,2026-06-04,"9707 Tsuchiya Rd,","Koloa, Kauai",HI,96756,"NBC Volleyball will return to Southside Sports Center in Koloa, HI for volleyball day camp in 2024. NBC volleyball camps are just what you need to take your game to the next level. Learn what it takes to play volleyball with excellence from our experienced, encouraging master teachers from the mainland. Experience the difference NBC Camps can make! NBC stands for Nothing Beats Commitment and has been running camps since 1979. Camps focus on confidence, goal setting, mental toughness, leadership, intensity, athletic and life skill mastery, the importance of personal faith and Christian values of integrity, compassion, and that each person is a miracle. Camps are intense and are for those who love volleyball enough to work hard.",$215,day,all,open,,,https://www.ussportscamps.com/volleyball/nbc/nbc-volleyball-camp-at-southside-sports-center,FALSE,FALSE,camp,,,medium
"NBC Volleyball Camp at Southside Sports Center - Position Specific Day Camp (Southside Sports Center, Koloa, HI) (June 1–4, 2026)",volleyball,13,17,2026-06-01,2026-06-04,"9707 Tsuchiya Rd,","Koloa, Kauai",HI,96756,"NBC Volleyball will return to Southside Sports Center in Koloa, HI for volleyball day camp in 2024. NBC volleyball camps are just what you need to take your game to the next level. Learn what it takes to play volleyball with excellence from our experienced, encouraging master teachers from the mainland. Experience the difference NBC Camps can make! NBC stands for Nothing Beats Commitment and has been running camps since 1979. Camps focus on confidence, goal setting, mental toughness, leadership, intensity, athletic and life skill mastery, the importance of personal faith and Christian values of integrity, compassion, and that each person is a miracle. Camps are intense and are for those who love volleyball enough to work hard.",$215,day,all,open,,,https://www.ussportscamps.com/volleyball/nbc/nbc-volleyball-camp-at-southside-sports-center,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp in Eagle Idaho -  (July 29–31, 2026)",volleyball,10,17,2026-07-29,2026-07-31,839 N Linder Rd,Eagle,ID,83616,"Join us this summer at North Star Charter School for fun and learning on the court! Campers of all abilities will train with Nike Volleyball Camp Director, Joyce Fahnestock, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 10-17, this volleyball camp in Idaho is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Eagle this summer—sign up today!",$379,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-meridian,FALSE,FALSE,camp,,,medium
