# Batch import 2026-05-06: City of Lakewood (7), Metro Parks Tacoma (7), PenMet Parks via ActiveNet (1)
name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Camp Create Week 1",general,6,9,2026-06-22,2026-06-25,6300 100th St SW,Lakewood,WA,98499,"Camp Create is the City of Lakewood Parks and Recreation summer day camp held at Park Lodge Elementary School. Week 1 runs Monday through Thursday with drop-off at 8:00 AM and pickup at 4:30 PM. Campers ages 6 through 9 take part in activities, games, and field trip visits. Run by Lakewood Parks and Recreation staff. Registration is through the city's ActiveNet portal.","$140",day,all,open,parks@cityoflakewood.us,(253) 983-7887,https://anc.apm.activecommunities.com/lakewoodparksandrec/activity/search?onlineSiteId=0&from_original_cui=true&activity_id=5272,FALSE,FALSE,camp,,,high
"Camp Create Week 2",general,6,9,2026-06-29,2026-07-02,6300 100th St SW,Lakewood,WA,98499,"Camp Create is the City of Lakewood Parks and Recreation summer day camp held at Park Lodge Elementary School. Week 2 runs Monday through Thursday with drop-off at 8:00 AM and pickup at 5:00 PM. Campers ages 6 through 9 take part in activities, games, and field trip visits. Run by Lakewood Parks and Recreation staff. Registration is through the city's ActiveNet portal.","$140",day,all,open,parks@cityoflakewood.us,(253) 983-7887,https://anc.apm.activecommunities.com/lakewoodparksandrec/activity/search?onlineSiteId=0&from_original_cui=true&activity_id=5272,FALSE,FALSE,camp,,,high
"Camp Create Week 3",general,6,9,2026-07-06,2026-07-09,6300 100th St SW,Lakewood,WA,98499,"Camp Create is the City of Lakewood Parks and Recreation summer day camp held at Park Lodge Elementary School. Week 3 runs Monday through Thursday with drop-off at 8:00 AM and pickup at 5:00 PM. Campers ages 6 through 9 take part in activities, games, and field trip visits. Run by Lakewood Parks and Recreation staff. Registration is through the city's ActiveNet portal.","$140",day,all,open,parks@cityoflakewood.us,(253) 983-7887,https://anc.apm.activecommunities.com/lakewoodparksandrec/activity/search?onlineSiteId=0&from_original_cui=true&activity_id=5272,FALSE,FALSE,camp,,,high
"Camp Create Week 4",general,6,9,2026-07-13,2026-07-16,6300 100th St SW,Lakewood,WA,98499,"Camp Create is the City of Lakewood Parks and Recreation summer day camp held at Park Lodge Elementary School. Week 4 runs Monday through Thursday with drop-off at 8:00 AM and pickup at 5:00 PM. Campers ages 6 through 9 take part in activities, games, and field trip visits. Run by Lakewood Parks and Recreation staff. Registration is through the city's ActiveNet portal.","$140",day,all,open,parks@cityoflakewood.us,(253) 983-7887,https://anc.apm.activecommunities.com/lakewoodparksandrec/activity/search?onlineSiteId=0&from_original_cui=true&activity_id=5272,FALSE,FALSE,camp,,,high
"Camp Create Week 5",general,6,9,2026-07-20,2026-07-23,6300 100th St SW,Lakewood,WA,98499,"Camp Create is the City of Lakewood Parks and Recreation summer day camp held at Park Lodge Elementary School. Week 5 runs Monday through Thursday with drop-off at 8:00 AM and pickup at 5:00 PM. Campers ages 6 through 9 take part in activities, games, and field trip visits. Run by Lakewood Parks and Recreation staff. Registration is through the city's ActiveNet portal.","$140",day,all,open,parks@cityoflakewood.us,(253) 983-7887,https://anc.apm.activecommunities.com/lakewoodparksandrec/activity/search?onlineSiteId=0&from_original_cui=true&activity_id=5272,FALSE,FALSE,camp,,,high
"Camp Create Week 6",general,6,9,2026-07-27,2026-07-31,6300 100th St SW,Lakewood,WA,98499,"Camp Create is the City of Lakewood Parks and Recreation summer day camp held at Park Lodge Elementary School. Week 6 runs Monday through Friday with drop-off at 8:00 AM and pickup at 5:00 PM. Campers ages 6 through 9 take part in activities, games, and field trip visits. Run by Lakewood Parks and Recreation staff. Registration is through the city's ActiveNet portal.","$140",day,all,open,parks@cityoflakewood.us,(253) 983-7887,https://anc.apm.activecommunities.com/lakewoodparksandrec/activity/search?onlineSiteId=0&from_original_cui=true&activity_id=5272,FALSE,FALSE,camp,,,high
"Camp Create Week 7",general,6,9,2026-08-03,2026-08-07,6300 100th St SW,Lakewood,WA,98499,"Camp Create is the City of Lakewood Parks and Recreation summer day camp held at Park Lodge Elementary School. Week 7 runs Monday through Friday with drop-off at 8:00 AM and pickup at 5:00 PM. Campers ages 6 through 9 take part in activities, games, and field trip visits. Run by Lakewood Parks and Recreation staff. Registration is through the city's ActiveNet portal.","$140",day,all,open,parks@cityoflakewood.us,(253) 983-7887,https://anc.apm.activecommunities.com/lakewoodparksandrec/activity/search?onlineSiteId=0&from_original_cui=true&activity_id=5272,FALSE,FALSE,camp,,,high
"Adaptive Fitness Camp",multi-sport,6,17,2026-08-17,2026-08-20,3873 S 66th St,Tacoma,WA,98409,"Adaptive Fitness Camp is a Metro Parks Tacoma summer camp at the STAR Center for youth ages 6 through 17 who benefit from adapted programming. The camp runs Monday through Thursday from 9:00 AM to 3:00 PM the week of August 17. Activities focus on movement, fitness, and recreation skills appropriate to each camper. Registration is through the Metro Parks Tacoma ActiveNet portal.","$250",day,all,open,,(253) 404-3939,https://anc.apm.activecommunities.com/metroparkstacoma/activity/search?onlineSiteId=0&activity_keyword=camp&viewMode=list,FALSE,FALSE,camp,,,high
"Around the World Cooking Camp",general,13,17,2026-08-24,2026-08-28,3873 S 66th St,Tacoma,WA,98409,"Around the World Cooking Camp is a Metro Parks Tacoma teen culinary camp at the STAR Center for ages 13 through 17. The camp runs Monday through Friday from 1:00 PM to 4:00 PM the week of August 24. Campers explore recipes and cooking techniques from different cuisines around the world. Registration is through the Metro Parks Tacoma ActiveNet portal.","$250",day,all,open,,(253) 404-3939,https://anc.apm.activecommunities.com/metroparkstacoma/activity/search?onlineSiteId=0&activity_keyword=camp&viewMode=list,FALSE,FALSE,camp,,,high
"Bibbidi Bobbidi Ballet & Bows Dance Camp",dance,3,5,2026-07-27,2026-07-31,3873 S 66th St,Tacoma,WA,98409,"Bibbidi Bobbidi Ballet and Bows is a Metro Parks Tacoma early-childhood dance camp at the STAR Center for ages 3 through 5. The camp runs Monday through Friday from 9:00 AM to noon the week of July 27. Young dancers practice ballet basics, movement games, and themed dress-up activities. Registration is through the Metro Parks Tacoma ActiveNet portal.","$199",day,beginner,open,,(253) 404-3939,https://anc.apm.activecommunities.com/metroparkstacoma/activity/search?onlineSiteId=0&activity_keyword=camp&viewMode=list,FALSE,FALSE,camp,,,high
