name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available
Logger Baseball Skills Camp,baseball,8,14,2026-06-22,2026-06-25,1500 N Warner St,Tacoma,WA,98416,"Four day skills camp at the University of Puget Sound run by the Logger baseball coaching staff. Daily instruction covers hitting, fielding, pitching, catching and base running. Players are grouped by age and ability. Held on the UPS baseball field on the north Tacoma campus.",$295,day,all,open,,,https://loggerbaseballcamps.com/camps.php,FALSE,FALSE
Logger Baseball Prospect Camp,baseball,14,18,2026-07-25,2026-07-25,1500 N Warner St,Tacoma,WA,98416,"One day prospect camp for high school age players considering college baseball. Athletes work through hitting, throwing, fielding and pitching evaluations with the Puget Sound coaching staff. Held on the UPS baseball field.",$125,day,intermediate,open,,,https://loggerbaseballcamps.com/camps.php,FALSE,FALSE
Logger Boys Basketball Camp,basketball,8,14,2026-07-13,2026-07-16,1500 N Warner St,Tacoma,WA,98416,"Four day basketball camp at University of Puget Sound for boys entering grades 3 through 9. Daily fundamentals work on shooting, ball handling, defense and team play, with games each afternoon. Held in the Memorial Fieldhouse on campus.",$245,day,all,open,,,https://loggerbasketballcamps.com/camps.php,FALSE,FALSE
Logger Girls Basketball Camp,basketball,8,14,2026-07-20,2026-07-23,1500 N Warner St,Tacoma,WA,98416,"Four day basketball camp at University of Puget Sound for girls entering grades 3 through 9. Daily fundamentals work on shooting, ball handling, defense and team play, with games each afternoon. Held in the Memorial Fieldhouse on campus.",$245,day,all,open,,,https://loggerbasketballcamps.com/camps.php,FALSE,FALSE
Logger Soccer ID Camp,soccer,14,18,2026-07-18,2026-07-19,1500 N Warner St,Tacoma,WA,98416,"Two day identification camp at University of Puget Sound for high school soccer players considering college. Sessions include technical work, small sided games and full field play observed by the Logger men's and women's coaching staffs. Held at Peyton Field.",$225,day,intermediate,open,,,https://loggersoccercamps.com/camps.php,FALSE,FALSE
Logger Youth Soccer Camp Session 1,soccer,7,13,2026-07-13,2026-07-16,1500 N Warner St,Tacoma,WA,98416,"Four day youth soccer camp at University of Puget Sound. Players are grouped by age for technical training, small sided games and tournament play led by the UPS coaching staff and current college players. Held at Peyton Field on campus.",$185,day,all,open,,,https://loggersoccercamps.com/camps.php,FALSE,FALSE
Logger Youth Soccer Camp Session 2,soccer,7,13,2026-08-03,2026-08-06,1500 N Warner St,Tacoma,WA,98416,"Four day youth soccer camp at University of Puget Sound. Players are grouped by age for technical training, small sided games and tournament play led by the UPS coaching staff and current college players. Held at Peyton Field on campus.",$185,day,all,open,,,https://loggersoccercamps.com/camps.php,FALSE,FALSE
Little Loggers Camp,general,5,10,2026-06-22,2026-06-26,1500 N Warner St,Tacoma,WA,98416,"Week long all sport day camp on the University of Puget Sound campus for younger children. Each day covers a different sport with games, crafts and supervised free time led by Logger student athletes and coaches. Camp is currently full for 2026.",$200,day,all,full,,,https://littleloggerscamp.com/camps.php,FALSE,FALSE
Logger Volleyball All Skills Camp,volleyball,9,14,2026-06-22,2026-06-25,1500 N Warner St,Tacoma,WA,98416,"Four day all skills volleyball camp at University of Puget Sound for players entering grades 4 through 9. Daily instruction in passing, setting, hitting, serving and defense led by the Logger volleyball staff. Held in the Memorial Fieldhouse.",$245,day,all,open,,,https://loggervolleyballcamps.com/all-skills.php,FALSE,FALSE
Logger Volleyball Setter Camp,volleyball,12,18,2026-07-09,2026-07-10,1500 N Warner St,Tacoma,WA,98416,"Two day setter specific camp at University of Puget Sound. Position training on hand work, footwork, decision making and offensive systems. For setters entering grades 7 through 12.",$165,day,intermediate,open,,,https://loggervolleyballcamps.com/setter.php,FALSE,FALSE
Logger Volleyball Hitter Camp,volleyball,12,18,2026-07-09,2026-07-10,1500 N Warner St,Tacoma,WA,98416,"Two day attacker specific camp at University of Puget Sound. Approach footwork, arm swing mechanics, shot selection and reading the block. For hitters entering grades 7 through 12.",$165,day,intermediate,open,,,https://loggervolleyballcamps.com/hitter.php,FALSE,FALSE
Logger Volleyball Defense and Serving Camp,volleyball,12,18,2026-07-11,2026-07-12,1500 N Warner St,Tacoma,WA,98416,"Two day camp focused on serving, serve receive and defensive movement at University of Puget Sound. Players work on platform control, reading hitters and aggressive serving for players entering grades 7 through 12.",$165,day,intermediate,open,,,https://loggervolleyballcamps.com/defense-serving.php,FALSE,FALSE
Logger Volleyball Position Camp,volleyball,13,18,2026-07-13,2026-07-15,1500 N Warner St,Tacoma,WA,98416,"Three day position specific camp at University of Puget Sound for players entering grades 8 through 12. Athletes train at their primary position with focused reps and team play.",$245,day,intermediate,open,,,https://loggervolleyballcamps.com/position.php,FALSE,FALSE
