name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available
"Pearl Street YMCA All Week Camp - Tropical Paradise",general,5,12,2026-06-22,2026-06-26,1002 S Pearl St,Tacoma,WA,98465,"Week 1 of Pearl Street YMCA Summer Day Camp. Campers ages 5 to 12 spend Monday through Friday in age-based groups led by counselors and CITs. The week features tropical-themed games, swimming at least once, crafts, and small and large group activities. All-Week campers age 7 and up also pick a Specialty Camp (sports, climbing, arts, gymnastics, and similar) that meets 1 to 2:30 pm Monday through Thursday. Check-in 8:45 am, check-out 4 pm, with optional extended care 7 to 8:30 am and 4:30 to 6 pm. Pack a nut-free lunch.","$247 members, $352 community members",day,all,open,,(253) 597-6444,https://www.ymcapkc.org/camps/summer-day-camp/pearl-street-family-ymca,FALSE,TRUE
"Pearl Street YMCA All Week Camp - Holiday Hoopla",general,5,12,2026-06-30,2026-07-03,1002 S Pearl St,Tacoma,WA,98465,"Week 2 of Pearl Street YMCA Summer Day Camp. Holiday-themed games and group activities run Tuesday through Friday (closed July 4 weekend). Campers age 7 and up pick a Specialty Camp from options like Backyard Games, Creative Creations, Game Show, Lego Creations, Soccer, or Ynews. Day runs 8:45 am to 4 pm with optional 7 am to 6 pm extended care. Pack a nut-free lunch.","$247 members, $352 community members",day,all,open,,(253) 597-6444,https://www.ymcapkc.org/camps/summer-day-camp/pearl-street-family-ymca,FALSE,TRUE
"Pearl Street YMCA All Week Camp - Under the Big Top",general,5,12,2026-07-06,2026-07-10,1002 S Pearl St,Tacoma,WA,98465,"Week 3 of Pearl Street YMCA Summer Day Camp, circus-themed week. Campers age 7 and up choose a Specialty Camp from options including Backyard Games, Dance Mix, Lego Creations, Mad Scientist, Pickleball, or Rockwall. Standard day is 8:45 am to 4 pm, extended care available 7 to 8:30 am and 4:30 to 6 pm. Includes swimming once a week.","$247 members, $352 community members",day,all,open,,(253) 597-6444,https://www.ymcapkc.org/camps/summer-day-camp/pearl-street-family-ymca,FALSE,TRUE
"Pearl Street YMCA All Week Camp - Most Valuable Player",general,5,12,2026-07-20,2026-07-24,1002 S Pearl St,Tacoma,WA,98465,"Week 5 sports-themed week at Pearl Street YMCA Summer Day Camp. Campers ages 5 to 12 join age-based groups for games, swimming once during the week, and crafts. Specialty Camps for ages 7 and up include Cheerleading, Backyard Games, Creative Creations, Dance Mix, Rockwall, or Soccer. Day runs 8:45 am to 4 pm with optional extended care 7 to 8:30 am and 4:30 to 6 pm.","$247 members, $352 community members",day,all,open,,(253) 597-6444,https://www.ymcapkc.org/camps/summer-day-camp/pearl-street-family-ymca,FALSE,TRUE
"Pearl Street YMCA Itty Bitty Camp - Most Valuable Player",general,3,4,2026-07-20,2026-07-24,1002 S Pearl St,Tacoma,WA,98465,"Half-day camp at Pearl Street YMCA designed for first-time campers ages 3 and 4. Mornings include games, group play, and simple themed activities tied to the Most Valuable Player sports week. Children must be toilet independent. Check-in 8:30 am, check-out 12 pm. No extended care option for Itty Bitty.","$152 members, $236 community members",day,beginner,open,,(253) 597-6444,https://www.ymcapkc.org/camps/summer-day-camp/pearl-street-family-ymca,FALSE,FALSE
"Pearl Street YMCA Mid Week Camp - Color Blast",general,5,12,2026-08-25,2026-08-27,1002 S Pearl St,Tacoma,WA,98465,"Tuesday through Thursday partial-week option at Pearl Street YMCA, Week 10 (Color Blast theme). Campers ages 5 to 12 join classic camp games, group activities, and a colorful theme finale to the summer. Check-in 8:45 am, check-out 4 pm. Extended care available 7 to 8:30 am and 4:30 to 6 pm.","$189 members, $236 community members",day,all,open,,(253) 597-6444,https://www.ymcapkc.org/camps/summer-day-camp/pearl-street-family-ymca,FALSE,TRUE
"Lakewood YMCA Summer Day Camp - Week 1",general,5,12,2026-06-15,2026-06-19,9715 Lakewood Dr SW,Lakewood,WA,98499,"Lakewood Family YMCA Summer Day Camp opening week. Camp runs Monday through Friday with age-based groups, weekly themes, swimming at least once a week, songs, crafts, and large and small group games. All Week campers age 7 and up choose a Specialty Camp meeting in the afternoon. Check-in 8:45 am, check-out 4 pm.","$247 members, $352 community members",day,all,open,,(253) 581-9622,https://www.ymcapkc.org/camps/summer-day-camp/lakewood-family-ymca,FALSE,TRUE
"Lakewood YMCA Summer Day Camp - Week 6",general,5,12,2026-07-20,2026-07-24,9715 Lakewood Dr SW,Lakewood,WA,98499,"Week 6 of Lakewood Family YMCA Summer Day Camp. Campers ages 5 to 12 are placed in age-based groups led by counselors and CITs. Days include themed games, crafts, group play, and swimming once during the week. Itty Bitty (ages 3 to 4) and Mid Week options also offered. Standard day 8:45 am to 4 pm with optional 7 am to 6 pm extended care.","$247 members, $352 community members",day,all,open,,(253) 581-9622,https://www.ymcapkc.org/camps/summer-day-camp/lakewood-family-ymca,FALSE,TRUE
"Mel Korum YMCA Summer Day Camp - Week 1 Tropical Paradise",general,5,12,2026-06-22,2026-06-26,302 43rd Ave SE,Puyallup,WA,98374,"Mel Korum Family YMCA day camp in Puyallup, opening week. Campers join age-based groups for themed games, crafts, swimming once a week, and small and large group activities. Specialty Camp options for All Week campers age 7 and up. Day runs 8:45 am to 4 pm with extended care 7 to 8:30 am and 4:30 to 6 pm. Itty Bitty (ages 3 to 4) and Mid Week options also offered.","$247 members, $352 community members",day,all,open,,(253) 845-9622,https://www.ymcapkc.org/camps/summer-day-camp/mel-korum-family-ymca,FALSE,TRUE
"Mel Korum YMCA Summer Day Camp - Week 7 Around the World",general,5,12,2026-08-03,2026-08-07,302 43rd Ave SE,Puyallup,WA,98374,"Around-the-world themed week at Mel Korum Family YMCA Puyallup. Campers travel through cultures via games, crafts, and group activities, plus swimming once a week. Camp runs Monday through Friday in age-based groups led by counselors and CITs. Standard day 8:45 am to 4 pm with optional 7 am to 6 pm extended care. Specialty Camps available for ages 7 and up.","$247 members, $352 community members",day,all,open,,(253) 845-9622,https://www.ymcapkc.org/camps/summer-day-camp/mel-korum-family-ymca,FALSE,TRUE
"Gordon YMCA Summer Day Camp - Week 4 Jurassic Jungle",general,5,12,2026-07-13,2026-07-17,16101 64th St E,Sumner,WA,98390,"Dinosaur-themed Week 4 at Gordon Family YMCA in Sumner. Campers ages 5 to 12 explore prehistoric games, crafts, and group activities, with swimming once during the week. Day runs 8:45 am to 4 pm with optional 7 am to 6 pm extended care. Specialty Camps available for ages 7 and up.","$247 members, $352 community members",day,all,open,,(253) 826-9622,https://www.ymcapkc.org/camps/summer-day-camp/gordon-family-ymca,FALSE,TRUE
"Gordon YMCA Summer Day Camp - Week 8 Bug Bonanza",general,5,12,2026-08-10,2026-08-14,16101 64th St E,Sumner,WA,98390,"Nature and bug-themed Week 8 at Gordon Family YMCA Sumner. Outdoor games and group challenges, plus crafts, swimming, and small group play in age-based camp groups. Specialty Camps for ages 7 and up. Day 8:45 am to 4 pm with extended care 7 to 8:30 am and 4:30 to 6 pm.","$247 members, $352 community members",day,all,open,,(253) 826-9622,https://www.ymcapkc.org/camps/summer-day-camp/gordon-family-ymca,FALSE,TRUE
"Tom Taylor YMCA Summer Day Camp - Week 2 Holiday Hoopla",general,5,12,2026-06-30,2026-07-03,10550 Harbor Hill Drive,Gig Harbor,WA,98332,"Tom Taylor Family YMCA in Gig Harbor, holiday-themed week. Campers ages 5 to 12 are grouped by age and led by counselors and CITs through games, crafts, and small and large group play, with swimming once during the week. Specialty Camps for ages 7 and up. Day 8:45 am to 4 pm with extended care 7 to 8:30 am and 4:30 to 6 pm. Tuesday through Friday only (closed July 4 weekend).","$247 members, $352 community members",day,all,open,,(253) 853-9622,https://www.ymcapkc.org/camps/summer-day-camp/tom-taylor-family-ymca,FALSE,TRUE
