name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Baseball Camp at Westmont College - All Skills Camp (July 19–22, 2026)",baseball,,,2026-07-19,2026-07-22,955 La Paz Rd,Santa Barbara,CA,93108,"Come join the fun at the Westmont College Nike Baseball Camp! Gorgeous weather, superb instruction, and great competition makes this a wonderful baseball camp experience for athletes of all abilities. Directing the camp is Tom Myers who serves as the Professional Area Scout for the Los Angeles Dodgers, covering from San Luis Obispo to Long Beach CA. Our goal is for every camper to take their game to the next level, create lasting friendships, and have a good time.",$639,day,all,open,,,https://www.ussportscamps.com/baseball/nike/nike-baseball-camp-at-westmont-college#session-79505-1213160,FALSE,FALSE,camp,,,low
"Nike Baseball Camp at Westmont College - All Skills Camp (July 19–22, 2026)",baseball,,,2026-07-19,2026-07-22,955 La Paz Rd,Santa Barbara,CA,93108,"Come join the fun at the Westmont College Nike Baseball Camp! Gorgeous weather, superb instruction, and great competition makes this a wonderful baseball camp experience for athletes of all abilities. Directing the camp is Tom Myers who serves as the Professional Area Scout for the Los Angeles Dodgers, covering from San Luis Obispo to Long Beach CA. Our goal is for every camper to take their game to the next level, create lasting friendships, and have a good time.",$929,day,all,open,,,https://www.ussportscamps.com/baseball/nike/nike-baseball-camp-at-westmont-college#session-79505-1213159,FALSE,FALSE,camp,,,low
"Nike Baseball Camp at Westmont College - High School Players Camp (July 19–22, 2026)",baseball,,,2026-07-19,2026-07-22,955 La Paz Rd,Santa Barbara,CA,93108,"Come join the fun at the Westmont College Nike Baseball Camp! Gorgeous weather, superb instruction, and great competition makes this a wonderful baseball camp experience for athletes of all abilities. Directing the camp is Tom Myers who serves as the Professional Area Scout for the Los Angeles Dodgers, covering from San Luis Obispo to Long Beach CA. Our goal is for every camper to take their game to the next level, create lasting friendships, and have a good time.",$639,day,all,open,,,https://www.ussportscamps.com/baseball/nike/nike-baseball-camp-at-westmont-college#session-79506-1213162,FALSE,FALSE,camp,,,low
"Nike Baseball Camp at Westmont College - High School Players Camp (July 19–22, 2026)",baseball,,,2026-07-19,2026-07-22,955 La Paz Rd,Santa Barbara,CA,93108,"Come join the fun at the Westmont College Nike Baseball Camp! Gorgeous weather, superb instruction, and great competition makes this a wonderful baseball camp experience for athletes of all abilities. Directing the camp is Tom Myers who serves as the Professional Area Scout for the Los Angeles Dodgers, covering from San Luis Obispo to Long Beach CA. Our goal is for every camper to take their game to the next level, create lasting friendships, and have a good time.",$929,day,all,open,,,https://www.ussportscamps.com/baseball/nike/nike-baseball-camp-at-westmont-college#session-79506-1213161,FALSE,FALSE,camp,,,low
"Nike Baseball Camp Montreat College -  (July 13–17, 2026)",baseball,,,2026-07-13,2026-07-17,310 Gaither Circle,Montreat,NC,28757,"Nike Baseball Camp is heading back to Montreat College for summer 2026, and we can’t wait! Camp will be led by Jason Beck, Montreat’s Head Coach and a seasoned Nike Camp Director who knows how to bring out the best in young players. Each day is all about learning, growing, and having fun—with drills that cover hitting, fielding, base running, and team play. Plus, kids get to play on Newell Field, the home of Cavaliers Baseball. It’s a great way for your child to build skills, confidence, and make some great summer memories!",$399,day,all,open,,,https://www.ussportscamps.com/baseball/nike/baseball-camp-montreat-college#session-78747-1211980,FALSE,FALSE,camp,,,low
"Nike Baseball Camp Montreat College -  (July 13–17, 2026)",baseball,,,2026-07-13,2026-07-17,310 Gaither Circle,Montreat,NC,28757,"Nike Baseball Camp is heading back to Montreat College for summer 2026, and we can’t wait! Camp will be led by Jason Beck, Montreat’s Head Coach and a seasoned Nike Camp Director who knows how to bring out the best in young players. Each day is all about learning, growing, and having fun—with drills that cover hitting, fielding, base running, and team play. Plus, kids get to play on Newell Field, the home of Cavaliers Baseball. It’s a great way for your child to build skills, confidence, and make some great summer memories!",$599,day,all,open,,,https://www.ussportscamps.com/baseball/nike/baseball-camp-montreat-college#session-78747-1211978,FALSE,FALSE,camp,,,low
"Nike Baseball Camp Montreat College -  (July 13–17, 2026)",baseball,,,2026-07-13,2026-07-17,310 Gaither Circle,Montreat,NC,28757,"Nike Baseball Camp is heading back to Montreat College for summer 2026, and we can’t wait! Camp will be led by Jason Beck, Montreat’s Head Coach and a seasoned Nike Camp Director who knows how to bring out the best in young players. Each day is all about learning, growing, and having fun—with drills that cover hitting, fielding, base running, and team play. Plus, kids get to play on Newell Field, the home of Cavaliers Baseball. It’s a great way for your child to build skills, confidence, and make some great summer memories!",$729,day,all,open,,,https://www.ussportscamps.com/baseball/nike/baseball-camp-montreat-college#session-78747-1211979,FALSE,FALSE,camp,,,low
"Nike Baseball Camp Montreat College -  (July 13–17, 2026)",baseball,,,2026-07-13,2026-07-17,310 Gaither Circle,Montreat,NC,28757,"Nike Baseball Camp is heading back to Montreat College for summer 2026, and we can’t wait! Camp will be led by Jason Beck, Montreat’s Head Coach and a seasoned Nike Camp Director who knows how to bring out the best in young players. Each day is all about learning, growing, and having fun—with drills that cover hitting, fielding, base running, and team play. Plus, kids get to play on Newell Field, the home of Cavaliers Baseball. It’s a great way for your child to build skills, confidence, and make some great summer memories!",$399,day,all,open,,,https://www.ussportscamps.com/baseball/nike/baseball-camp-montreat-college#session-78748-1211983,FALSE,FALSE,camp,,,low
"Nike Baseball Camp Montreat College -  (July 13–17, 2026)",baseball,,,2026-07-13,2026-07-17,310 Gaither Circle,Montreat,NC,28757,"Nike Baseball Camp is heading back to Montreat College for summer 2026, and we can’t wait! Camp will be led by Jason Beck, Montreat’s Head Coach and a seasoned Nike Camp Director who knows how to bring out the best in young players. Each day is all about learning, growing, and having fun—with drills that cover hitting, fielding, base running, and team play. Plus, kids get to play on Newell Field, the home of Cavaliers Baseball. It’s a great way for your child to build skills, confidence, and make some great summer memories!",$599,day,all,open,,,https://www.ussportscamps.com/baseball/nike/baseball-camp-montreat-college#session-78748-1211981,FALSE,FALSE,camp,,,low
"Nike Baseball Camp Montreat College -  (July 13–17, 2026)",baseball,,,2026-07-13,2026-07-17,310 Gaither Circle,Montreat,NC,28757,"Nike Baseball Camp is heading back to Montreat College for summer 2026, and we can’t wait! Camp will be led by Jason Beck, Montreat’s Head Coach and a seasoned Nike Camp Director who knows how to bring out the best in young players. Each day is all about learning, growing, and having fun—with drills that cover hitting, fielding, base running, and team play. Plus, kids get to play on Newell Field, the home of Cavaliers Baseball. It’s a great way for your child to build skills, confidence, and make some great summer memories!",$729,day,all,open,,,https://www.ussportscamps.com/baseball/nike/baseball-camp-montreat-college#session-78748-1211982,FALSE,FALSE,camp,,,low
