name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Boys Basketball Camp Farmington City Gymnasium -  (July 20–23, 2026)",baseball,,,2026-07-20,2026-07-23,294 South 650 West,Farmington,UT,84025,"Pro Level Training Nike Basketball Camps' mission is to provide players with the skills and mental approach they need to become a better and more explosive player. Emphasis is placed on fundamentals, footwork, balance, and conditioning.",$399,day,all,open,,,https://www.ussportscamps.com/basketball/nike/nike-basketball-camp-farmington-city-gymnasium#session-79158-1212597,FALSE,FALSE,camp,,,low
"Nike Basketball Camp EHB Basketball Club Chamblee - Guard Skills Camp (May 26–29, 2026)",baseball,,,2026-05-26,2026-05-29,2065 Peachtree Industrial Ct,Chamblee,GA,30341,"Under the direction and teaching philosophy of Coach Miller, our camps are built around a structured progression that blends skill development, competitive play, and basketball IQ. A central pillar of our curriculum is 3-on-3 basketball — a format that accelerates learning by increasing touches, decision-making opportunities, and meaningful game reps. “The benefits of 3-on-3 basketball for youth players are significant — it gives them more touches, more decision-making opportunities, and more chances to develop real skills in a game-like setting. With fewer players and more space, athletes learn spacing, movement without the ball, and how to make smarter decisions instead of standing on the perimeter. It also builds confidence, basketball IQ, and conditioning, because every player is constantly engaged on both ends of the floor.” -Lee Miller, NIKE Camp Director (Atlanta, GA)",$339,day,all,open,,,https://www.ussportscamps.com/basketball/nike/nike-basketball-camp-ehb-basketball-academy-chamblee#session-80591-1215076,FALSE,FALSE,camp,,,low
"Nike Basketball Camp EHB Basketball Club Chamblee - Complete Skills Camp (June 1–4, 2026)",baseball,,,2026-06-01,2026-06-04,2065 Peachtree Industrial Ct,Chamblee,GA,30341,"Under the direction and teaching philosophy of Coach Miller, our camps are built around a structured progression that blends skill development, competitive play, and basketball IQ. A central pillar of our curriculum is 3-on-3 basketball — a format that accelerates learning by increasing touches, decision-making opportunities, and meaningful game reps. “The benefits of 3-on-3 basketball for youth players are significant — it gives them more touches, more decision-making opportunities, and more chances to develop real skills in a game-like setting. With fewer players and more space, athletes learn spacing, movement without the ball, and how to make smarter decisions instead of standing on the perimeter. It also builds confidence, basketball IQ, and conditioning, because every player is constantly engaged on both ends of the floor.” -Lee Miller, NIKE Camp Director (Atlanta, GA)",$339,day,all,open,,,https://www.ussportscamps.com/basketball/nike/nike-basketball-camp-ehb-basketball-academy-chamblee#session-80643-1215148,FALSE,FALSE,camp,,,low
"Nike Basketball Camp EHB Basketball Club Chamblee - Complete Skills Camp (June 1–4, 2026)",baseball,,,2026-06-01,2026-06-04,2065 Peachtree Industrial Ct,Chamblee,GA,30341,"Under the direction and teaching philosophy of Coach Miller, our camps are built around a structured progression that blends skill development, competitive play, and basketball IQ. A central pillar of our curriculum is 3-on-3 basketball — a format that accelerates learning by increasing touches, decision-making opportunities, and meaningful game reps. “The benefits of 3-on-3 basketball for youth players are significant — it gives them more touches, more decision-making opportunities, and more chances to develop real skills in a game-like setting. With fewer players and more space, athletes learn spacing, movement without the ball, and how to make smarter decisions instead of standing on the perimeter. It also builds confidence, basketball IQ, and conditioning, because every player is constantly engaged on both ends of the floor.” -Lee Miller, NIKE Camp Director (Atlanta, GA)",$339,day,all,open,,,https://www.ussportscamps.com/basketball/nike/nike-basketball-camp-ehb-basketball-academy-chamblee#session-80644-1215149,FALSE,FALSE,camp,,,low
"Nike Basketball Camp EHB Basketball Club Chamblee - Complete Skills Camp (June 8–11, 2026)",baseball,,,2026-06-08,2026-06-11,2065 Peachtree Industrial Ct,Chamblee,GA,30341,"Under the direction and teaching philosophy of Coach Miller, our camps are built around a structured progression that blends skill development, competitive play, and basketball IQ. A central pillar of our curriculum is 3-on-3 basketball — a format that accelerates learning by increasing touches, decision-making opportunities, and meaningful game reps. “The benefits of 3-on-3 basketball for youth players are significant — it gives them more touches, more decision-making opportunities, and more chances to develop real skills in a game-like setting. With fewer players and more space, athletes learn spacing, movement without the ball, and how to make smarter decisions instead of standing on the perimeter. It also builds confidence, basketball IQ, and conditioning, because every player is constantly engaged on both ends of the floor.” -Lee Miller, NIKE Camp Director (Atlanta, GA)",$339,day,all,open,,,https://www.ussportscamps.com/basketball/nike/nike-basketball-camp-ehb-basketball-academy-chamblee#session-80645-1215150,FALSE,FALSE,camp,,,low
"Nike Basketball Camp EHB Basketball Club Chamblee - Junior Basketball Camp (June 15–18, 2026)",baseball,,,2026-06-15,2026-06-18,2065 Peachtree Industrial Ct,Chamblee,GA,30341,"Under the direction and teaching philosophy of Coach Miller, our camps are built around a structured progression that blends skill development, competitive play, and basketball IQ. A central pillar of our curriculum is 3-on-3 basketball — a format that accelerates learning by increasing touches, decision-making opportunities, and meaningful game reps. “The benefits of 3-on-3 basketball for youth players are significant — it gives them more touches, more decision-making opportunities, and more chances to develop real skills in a game-like setting. With fewer players and more space, athletes learn spacing, movement without the ball, and how to make smarter decisions instead of standing on the perimeter. It also builds confidence, basketball IQ, and conditioning, because every player is constantly engaged on both ends of the floor.” -Lee Miller, NIKE Camp Director (Atlanta, GA)",$209,day,all,open,,,https://www.ussportscamps.com/basketball/nike/nike-basketball-camp-ehb-basketball-academy-chamblee#session-80646-1215151,FALSE,FALSE,camp,,,low
"Nike Basketball Camp EHB Basketball Club Chamblee - Junior Basketball / 3 on 3 Camp (June 15–18, 2026)",baseball,,,2026-06-15,2026-06-18,2065 Peachtree Industrial Ct,Chamblee,GA,30341,"Under the direction and teaching philosophy of Coach Miller, our camps are built around a structured progression that blends skill development, competitive play, and basketball IQ. A central pillar of our curriculum is 3-on-3 basketball — a format that accelerates learning by increasing touches, decision-making opportunities, and meaningful game reps. “The benefits of 3-on-3 basketball for youth players are significant — it gives them more touches, more decision-making opportunities, and more chances to develop real skills in a game-like setting. With fewer players and more space, athletes learn spacing, movement without the ball, and how to make smarter decisions instead of standing on the perimeter. It also builds confidence, basketball IQ, and conditioning, because every player is constantly engaged on both ends of the floor.” -Lee Miller, NIKE Camp Director (Atlanta, GA)",$209,day,all,open,,,https://www.ussportscamps.com/basketball/nike/nike-basketball-camp-ehb-basketball-academy-chamblee#session-80656-1215161,FALSE,FALSE,camp,,,low
"Nike Basketball Camp EHB Basketball Club Chamblee - Shooting Camp (June 15–18, 2026)",baseball,,,2026-06-15,2026-06-18,2065 Peachtree Industrial Ct,Chamblee,GA,30341,"Under the direction and teaching philosophy of Coach Miller, our camps are built around a structured progression that blends skill development, competitive play, and basketball IQ. A central pillar of our curriculum is 3-on-3 basketball — a format that accelerates learning by increasing touches, decision-making opportunities, and meaningful game reps. “The benefits of 3-on-3 basketball for youth players are significant — it gives them more touches, more decision-making opportunities, and more chances to develop real skills in a game-like setting. With fewer players and more space, athletes learn spacing, movement without the ball, and how to make smarter decisions instead of standing on the perimeter. It also builds confidence, basketball IQ, and conditioning, because every player is constantly engaged on both ends of the floor.” -Lee Miller, NIKE Camp Director (Atlanta, GA)",$209,day,all,open,,,https://www.ussportscamps.com/basketball/nike/nike-basketball-camp-ehb-basketball-academy-chamblee#session-80648-1215153,FALSE,FALSE,camp,,,low
"Nike Basketball Camp EHB Basketball Club Chamblee - 3 on 3 Camp (June 15–18, 2026)",baseball,,,2026-06-15,2026-06-18,2065 Peachtree Industrial Ct,Chamblee,GA,30341,"Under the direction and teaching philosophy of Coach Miller, our camps are built around a structured progression that blends skill development, competitive play, and basketball IQ. A central pillar of our curriculum is 3-on-3 basketball — a format that accelerates learning by increasing touches, decision-making opportunities, and meaningful game reps. “The benefits of 3-on-3 basketball for youth players are significant — it gives them more touches, more decision-making opportunities, and more chances to develop real skills in a game-like setting. With fewer players and more space, athletes learn spacing, movement without the ball, and how to make smarter decisions instead of standing on the perimeter. It also builds confidence, basketball IQ, and conditioning, because every player is constantly engaged on both ends of the floor.” -Lee Miller, NIKE Camp Director (Atlanta, GA)",$209,day,all,open,,,https://www.ussportscamps.com/basketball/nike/nike-basketball-camp-ehb-basketball-academy-chamblee#session-80654-1215159,FALSE,FALSE,camp,,,low
"Nike Basketball Camp EHB Basketball Club Chamblee - Advanced Skills Camp (June 22–25, 2026)",baseball,,,2026-06-22,2026-06-25,2065 Peachtree Industrial Ct,Chamblee,GA,30341,"Under the direction and teaching philosophy of Coach Miller, our camps are built around a structured progression that blends skill development, competitive play, and basketball IQ. A central pillar of our curriculum is 3-on-3 basketball — a format that accelerates learning by increasing touches, decision-making opportunities, and meaningful game reps. “The benefits of 3-on-3 basketball for youth players are significant — it gives them more touches, more decision-making opportunities, and more chances to develop real skills in a game-like setting. With fewer players and more space, athletes learn spacing, movement without the ball, and how to make smarter decisions instead of standing on the perimeter. It also builds confidence, basketball IQ, and conditioning, because every player is constantly engaged on both ends of the floor.” -Lee Miller, NIKE Camp Director (Atlanta, GA)",$339,day,all,open,,,https://www.ussportscamps.com/basketball/nike/nike-basketball-camp-ehb-basketball-academy-chamblee#session-80664-1215173,FALSE,FALSE,camp,,,low
