name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Golf Camp at Berry College -  (July 12–16, 2026)",golf,10,18,2026-07-12,2026-07-16,2277 Martha Berry Hwy NW,Mount Berry,GA,30149,"Nike Golf Camp at Berry College returns for another fantastic summer and we invite junior golfers to join Brian Farrer and Evan Spence for a week of top-notch golf instruction! Rome, GA sits just outside of Atlanta and features spectacular accommodations on campus at Berry College. Berry College offers an unusually beautiful environment for learning on its 26,000-acre campus, one of the world's largest. Fields, forests, lakes and mountains provide scenic beauty in a protected natural setting. Nike Golf Camps accommodate all skill levels; the junior player just discovering the game, the high school player trying to move up on the team, and the tournament level junior looking to improve his or her tournament results. All aspects of the game are addressed during the camp; putting, chipping, pitching, full swing, strategy, rules, and etiquette. Campers participate in drills, skills challenges, and other fun games throughout the camp week.",$879-$1399,day,all,open,,,https://www.ussportscamps.com/golf/nike/nike-golf-camp-berry-college,FALSE,FALSE,camp,,,medium
"Nike Elite Golf Camps in Pebble Beach -  (June 21–25, 2026)",golf,12,18,2026-06-21,2026-06-25,3260 Stevenson Dr,Pebble Beach,CA,93953,"THE FLAGSHIP LOCATION FOR NIKE GOLF CAMPS, THIS ONE-OF-A-KIND PROGRAM PROVIDES OUR CAMPERS WITH THE SUMMER TRIP OF A LIFETIME. Join Senior Instructor for Pebble Beach Golf Academy, Kevin Hanssen, and the exceptional staff of teaching professionals for a camp experience you won't forget! Session 1 will be co-directed by Eric Frazzetta, Duan Family Men’s Assistant Golf Coach at Cal Poly, bringing collegiate-level insight and energy to the course. Session 2 features Jon Whithaus, Associate Head Women’s Golf Coach at Duke University and owner/operator of Elite Level Golf, alongside Dan Wesley, Head Coach at the University of Rochester. Overnight Elite Camp Structured for competitive junior golfers ages 12-18, this elite camp presents an exciting, fun-filled learning environment conducted on a rotation of some of the world’s most breathtaking courses: Spyglass Hill® Golf Course, Del Monte™ Golf Course, and The Hay (Pebble Beach's famed short course recently re-designed by Tiger Woods). *Please note: Spanish Bay will be closed for renovation starting in mid-March 2026. Campers now utilize the state-of-the-art practice facilities at Pebble Beach Golf Academy, while receiving instruction from Eric Frazzetta (Session 1), Jon Whithaus and Dan Wesley (Session 2), and the Pebble Beach Academy staff. We have also brought on an amazing female coach to serve on staff for each session. Our female coaches will reside with the girls during camp and provide insightful knowledge into the recruiting process and what it takes to play at the collegiate level. Campers will be housed at the Stevenson School in the Del Monte Forest for the duration of the program! Players will stay in two-person dorm rooms and will be paired with other campers of similar age. Counselors stay in adjacent rooms. Camp sessions run Sunday through Thursday during the summer, but campers are encouraged to sign up for multiple weeks! *Eric Frazzetta will only serve as Camp Director for the June 21-25 session and June 28-July 2 *Jon Whithaus and Dan Wesley will only serve as Camp Directors for the July 12-16 session * If you have questions about whether your child meets the criteria for the Nike Elite Golf Camp, please contact our office at 1-800-645-3226. Parent/Child Camp We also encourage parents to join in on the fun over the weekend! This summer, we will be offering two, very special parent/child experiences! For more information, please see the page for Nike Parent/Child Golf Camps in Pebble Beach. This camp is open to any and all entrants (only limited by age, gender, and number).",$3554-$4074,day,all,open,,,https://www.ussportscamps.com/golf/nike/nike-golf-camp-monterey-peninsula,FALSE,FALSE,camp,,,medium
"Nike Elite Golf Camps in Pebble Beach -  (June 28–July 2, 2026)",golf,12,18,2026-06-28,2026-07-02,3260 Stevenson Dr,Pebble Beach,CA,93953,"THE FLAGSHIP LOCATION FOR NIKE GOLF CAMPS, THIS ONE-OF-A-KIND PROGRAM PROVIDES OUR CAMPERS WITH THE SUMMER TRIP OF A LIFETIME. Join Senior Instructor for Pebble Beach Golf Academy, Kevin Hanssen, and the exceptional staff of teaching professionals for a camp experience you won't forget! Session 1 will be co-directed by Eric Frazzetta, Duan Family Men’s Assistant Golf Coach at Cal Poly, bringing collegiate-level insight and energy to the course. Session 2 features Jon Whithaus, Associate Head Women’s Golf Coach at Duke University and owner/operator of Elite Level Golf, alongside Dan Wesley, Head Coach at the University of Rochester. Overnight Elite Camp Structured for competitive junior golfers ages 12-18, this elite camp presents an exciting, fun-filled learning environment conducted on a rotation of some of the world’s most breathtaking courses: Spyglass Hill® Golf Course, Del Monte™ Golf Course, and The Hay (Pebble Beach's famed short course recently re-designed by Tiger Woods). *Please note: Spanish Bay will be closed for renovation starting in mid-March 2026. Campers now utilize the state-of-the-art practice facilities at Pebble Beach Golf Academy, while receiving instruction from Eric Frazzetta (Session 1), Jon Whithaus and Dan Wesley (Session 2), and the Pebble Beach Academy staff. We have also brought on an amazing female coach to serve on staff for each session. Our female coaches will reside with the girls during camp and provide insightful knowledge into the recruiting process and what it takes to play at the collegiate level. Campers will be housed at the Stevenson School in the Del Monte Forest for the duration of the program! Players will stay in two-person dorm rooms and will be paired with other campers of similar age. Counselors stay in adjacent rooms. Camp sessions run Sunday through Thursday during the summer, but campers are encouraged to sign up for multiple weeks! *Eric Frazzetta will only serve as Camp Director for the June 21-25 session and June 28-July 2 *Jon Whithaus and Dan Wesley will only serve as Camp Directors for the July 12-16 session * If you have questions about whether your child meets the criteria for the Nike Elite Golf Camp, please contact our office at 1-800-645-3226. Parent/Child Camp We also encourage parents to join in on the fun over the weekend! This summer, we will be offering two, very special parent/child experiences! For more information, please see the page for Nike Parent/Child Golf Camps in Pebble Beach. This camp is open to any and all entrants (only limited by age, gender, and number).",$3554-$4074,day,all,open,,,https://www.ussportscamps.com/golf/nike/nike-golf-camp-monterey-peninsula,FALSE,FALSE,camp,,,medium
"Nike Elite Golf Camps in Pebble Beach -  (July 12–16, 2026)",golf,12,18,2026-07-12,2026-07-16,3260 Stevenson Dr,Pebble Beach,CA,93953,"THE FLAGSHIP LOCATION FOR NIKE GOLF CAMPS, THIS ONE-OF-A-KIND PROGRAM PROVIDES OUR CAMPERS WITH THE SUMMER TRIP OF A LIFETIME. Join Senior Instructor for Pebble Beach Golf Academy, Kevin Hanssen, and the exceptional staff of teaching professionals for a camp experience you won't forget! Session 1 will be co-directed by Eric Frazzetta, Duan Family Men’s Assistant Golf Coach at Cal Poly, bringing collegiate-level insight and energy to the course. Session 2 features Jon Whithaus, Associate Head Women’s Golf Coach at Duke University and owner/operator of Elite Level Golf, alongside Dan Wesley, Head Coach at the University of Rochester. Overnight Elite Camp Structured for competitive junior golfers ages 12-18, this elite camp presents an exciting, fun-filled learning environment conducted on a rotation of some of the world’s most breathtaking courses: Spyglass Hill® Golf Course, Del Monte™ Golf Course, and The Hay (Pebble Beach's famed short course recently re-designed by Tiger Woods). *Please note: Spanish Bay will be closed for renovation starting in mid-March 2026. Campers now utilize the state-of-the-art practice facilities at Pebble Beach Golf Academy, while receiving instruction from Eric Frazzetta (Session 1), Jon Whithaus and Dan Wesley (Session 2), and the Pebble Beach Academy staff. We have also brought on an amazing female coach to serve on staff for each session. Our female coaches will reside with the girls during camp and provide insightful knowledge into the recruiting process and what it takes to play at the collegiate level. Campers will be housed at the Stevenson School in the Del Monte Forest for the duration of the program! Players will stay in two-person dorm rooms and will be paired with other campers of similar age. Counselors stay in adjacent rooms. Camp sessions run Sunday through Thursday during the summer, but campers are encouraged to sign up for multiple weeks! *Eric Frazzetta will only serve as Camp Director for the June 21-25 session and June 28-July 2 *Jon Whithaus and Dan Wesley will only serve as Camp Directors for the July 12-16 session * If you have questions about whether your child meets the criteria for the Nike Elite Golf Camp, please contact our office at 1-800-645-3226. Parent/Child Camp We also encourage parents to join in on the fun over the weekend! This summer, we will be offering two, very special parent/child experiences! For more information, please see the page for Nike Parent/Child Golf Camps in Pebble Beach. This camp is open to any and all entrants (only limited by age, gender, and number).",$3554-$4074,day,all,open,,,https://www.ussportscamps.com/golf/nike/nike-golf-camp-monterey-peninsula,FALSE,FALSE,camp,,,medium
"Nike Golf Camp at University of Illinois -  (June 7–11, 2026)",golf,11,18,2026-06-07,2026-06-11,910 S 3rd St,Champaign,IL,61820,"Get ready for an amazing experience in Champaign, IL! Join the Fighting Illini Men’s Golf program for five days of top-notch instruction at the University of Illinois. The Fighting Illini Men’s Golf program has been hosting this premier junior golf camp in Illinois for over a decade and looks forward to another great summer. Nike Golf Camp participants stay on campus in air-conditioned dorms and utilize the exclusive team practice facilities, Lauritsen/Wohlers Outdoor Golf Practice Facility and Demirjian Indoor Golf Facility, for instruction from the coaching staff. Throughout the camp, players travel a short distance to the University’s Orange and Blue Golf Courses, as well Atkins Golf Club, their newly renovated home course where they participate in on-course instruction. This camp location is for boys only.",$1900,day,all,open,,,https://www.ussportscamps.com/golf/nike/nike-golf-camp-university-of-illinois,FALSE,FALSE,camp,,,medium
"Nike Golf Camp at Peacock Gap Golf Club - Half Day AM Camp (June 8–12, 2026)",golf,5,15,2026-06-08,2026-06-12,333 Biscayne Drive,San Rafael,CA,94901,"Get ready for an amazing experience in San Rafael! Join one of our top Nike Camp Directors, Val Verhunce, this summer at Peacock Gap Golf Club. This camp provides top-notch instruction, so come and see why thousands of campers have attended this junior golf program. Improve your game and have fun with our experienced teaching professionals this summer! Summer Full Day Full day campers receive three hours of instruction each day with emphasis on putting, chipping, bunker play and full swing. After morning instruction and a break for lunch, campers will get to apply what they have learned out on the course (course play when available). During course play our professionals teach strategy, etiquette and course management. The Full Day Camp is designed to create complete golfers and raise their game to the next level. Full Day Camps run Monday through Friday from 9:00am - 4:00pm and are open to players of all abilities, ages 10-15. Please note: Lunch is provided for full day campers each day. Summer Half Day 9:00am-12:00pm/1:00pm-4:00pm This program is designed to pique the interest of new golfers while also offering intermediate golfers the instruction needed to improve. Half day campers receive three hours of instruction each day with emphasis on putting, chipping, bunker play and full swing. Campers rotate between stations and participate in drills, skills challenges, and other games. Half Day Camps run Monday through Friday from 9:00am - 12:00pm and 1:00pm - 4:00pm and are open to players of all abilities, ages 5-15. Please note: Lunch is NOT provided for half day campers each day. Nike Camp Skills Challenge The Nike Camp Challenge is an amazing opportunity for your child to put the skills they’ve learned to the test! After participating in one of the full day summer sessions, our camp director will be putting on a Skills Challenge testing the skills of select campers. The top two winners* of the skills challenge will qualify and compete in an on-course tournament that afternoon. The Skills Challenge will be a competitive event with photo opportunities (parents are welcome to attend!) and chances to win special prizes. *Notes: Only campers who are registered for the Summer Full Day sessions and are selected at camp are eligible for the Skills Challenge.",$579,day,all,open,,,https://www.ussportscamps.com/golf/nike/nike-golf-camp-peacock-gap,FALSE,FALSE,camp,,,medium
"Nike Golf Camp at Peacock Gap Golf Club - Half Day PM Camp (June 8–12, 2026)",golf,5,15,2026-06-08,2026-06-12,333 Biscayne Drive,San Rafael,CA,94901,"Get ready for an amazing experience in San Rafael! Join one of our top Nike Camp Directors, Val Verhunce, this summer at Peacock Gap Golf Club. This camp provides top-notch instruction, so come and see why thousands of campers have attended this junior golf program. Improve your game and have fun with our experienced teaching professionals this summer! Summer Full Day Full day campers receive three hours of instruction each day with emphasis on putting, chipping, bunker play and full swing. After morning instruction and a break for lunch, campers will get to apply what they have learned out on the course (course play when available). During course play our professionals teach strategy, etiquette and course management. The Full Day Camp is designed to create complete golfers and raise their game to the next level. Full Day Camps run Monday through Friday from 9:00am - 4:00pm and are open to players of all abilities, ages 10-15. Please note: Lunch is provided for full day campers each day. Summer Half Day 9:00am-12:00pm/1:00pm-4:00pm This program is designed to pique the interest of new golfers while also offering intermediate golfers the instruction needed to improve. Half day campers receive three hours of instruction each day with emphasis on putting, chipping, bunker play and full swing. Campers rotate between stations and participate in drills, skills challenges, and other games. Half Day Camps run Monday through Friday from 9:00am - 12:00pm and 1:00pm - 4:00pm and are open to players of all abilities, ages 5-15. Please note: Lunch is NOT provided for half day campers each day. Nike Camp Skills Challenge The Nike Camp Challenge is an amazing opportunity for your child to put the skills they’ve learned to the test! After participating in one of the full day summer sessions, our camp director will be putting on a Skills Challenge testing the skills of select campers. The top two winners* of the skills challenge will qualify and compete in an on-course tournament that afternoon. The Skills Challenge will be a competitive event with photo opportunities (parents are welcome to attend!) and chances to win special prizes. *Notes: Only campers who are registered for the Summer Full Day sessions and are selected at camp are eligible for the Skills Challenge.",$579,day,all,open,,,https://www.ussportscamps.com/golf/nike/nike-golf-camp-peacock-gap,FALSE,FALSE,camp,,,medium
"Nike Golf Camp at Peacock Gap Golf Club - Full Day Camp (June 15–19, 2026)",golf,10,15,2026-06-15,2026-06-19,333 Biscayne Drive,San Rafael,CA,94901,"Get ready for an amazing experience in San Rafael! Join one of our top Nike Camp Directors, Val Verhunce, this summer at Peacock Gap Golf Club. This camp provides top-notch instruction, so come and see why thousands of campers have attended this junior golf program. Improve your game and have fun with our experienced teaching professionals this summer! Summer Full Day Full day campers receive three hours of instruction each day with emphasis on putting, chipping, bunker play and full swing. After morning instruction and a break for lunch, campers will get to apply what they have learned out on the course (course play when available). During course play our professionals teach strategy, etiquette and course management. The Full Day Camp is designed to create complete golfers and raise their game to the next level. Full Day Camps run Monday through Friday from 9:00am - 4:00pm and are open to players of all abilities, ages 10-15. Please note: Lunch is provided for full day campers each day. Summer Half Day 9:00am-12:00pm/1:00pm-4:00pm This program is designed to pique the interest of new golfers while also offering intermediate golfers the instruction needed to improve. Half day campers receive three hours of instruction each day with emphasis on putting, chipping, bunker play and full swing. Campers rotate between stations and participate in drills, skills challenges, and other games. Half Day Camps run Monday through Friday from 9:00am - 12:00pm and 1:00pm - 4:00pm and are open to players of all abilities, ages 5-15. Please note: Lunch is NOT provided for half day campers each day. Nike Camp Skills Challenge The Nike Camp Challenge is an amazing opportunity for your child to put the skills they’ve learned to the test! After participating in one of the full day summer sessions, our camp director will be putting on a Skills Challenge testing the skills of select campers. The top two winners* of the skills challenge will qualify and compete in an on-course tournament that afternoon. The Skills Challenge will be a competitive event with photo opportunities (parents are welcome to attend!) and chances to win special prizes. *Notes: Only campers who are registered for the Summer Full Day sessions and are selected at camp are eligible for the Skills Challenge.",$999,day,all,open,,,https://www.ussportscamps.com/golf/nike/nike-golf-camp-peacock-gap,FALSE,FALSE,camp,,,medium
"Nike Golf Camp at Peacock Gap Golf Club - Half Day AM Camp (June 22–26, 2026)",golf,5,15,2026-06-22,2026-06-26,333 Biscayne Drive,San Rafael,CA,94901,"Get ready for an amazing experience in San Rafael! Join one of our top Nike Camp Directors, Val Verhunce, this summer at Peacock Gap Golf Club. This camp provides top-notch instruction, so come and see why thousands of campers have attended this junior golf program. Improve your game and have fun with our experienced teaching professionals this summer! Summer Full Day Full day campers receive three hours of instruction each day with emphasis on putting, chipping, bunker play and full swing. After morning instruction and a break for lunch, campers will get to apply what they have learned out on the course (course play when available). During course play our professionals teach strategy, etiquette and course management. The Full Day Camp is designed to create complete golfers and raise their game to the next level. Full Day Camps run Monday through Friday from 9:00am - 4:00pm and are open to players of all abilities, ages 10-15. Please note: Lunch is provided for full day campers each day. Summer Half Day 9:00am-12:00pm/1:00pm-4:00pm This program is designed to pique the interest of new golfers while also offering intermediate golfers the instruction needed to improve. Half day campers receive three hours of instruction each day with emphasis on putting, chipping, bunker play and full swing. Campers rotate between stations and participate in drills, skills challenges, and other games. Half Day Camps run Monday through Friday from 9:00am - 12:00pm and 1:00pm - 4:00pm and are open to players of all abilities, ages 5-15. Please note: Lunch is NOT provided for half day campers each day. Nike Camp Skills Challenge The Nike Camp Challenge is an amazing opportunity for your child to put the skills they’ve learned to the test! After participating in one of the full day summer sessions, our camp director will be putting on a Skills Challenge testing the skills of select campers. The top two winners* of the skills challenge will qualify and compete in an on-course tournament that afternoon. The Skills Challenge will be a competitive event with photo opportunities (parents are welcome to attend!) and chances to win special prizes. *Notes: Only campers who are registered for the Summer Full Day sessions and are selected at camp are eligible for the Skills Challenge.",$569,day,all,open,,,https://www.ussportscamps.com/golf/nike/nike-golf-camp-peacock-gap,FALSE,FALSE,camp,,,medium
"Nike Golf Camp at Peacock Gap Golf Club - Half Day PM Camp (June 22–26, 2026)",golf,5,15,2026-06-22,2026-06-26,333 Biscayne Drive,San Rafael,CA,94901,"Get ready for an amazing experience in San Rafael! Join one of our top Nike Camp Directors, Val Verhunce, this summer at Peacock Gap Golf Club. This camp provides top-notch instruction, so come and see why thousands of campers have attended this junior golf program. Improve your game and have fun with our experienced teaching professionals this summer! Summer Full Day Full day campers receive three hours of instruction each day with emphasis on putting, chipping, bunker play and full swing. After morning instruction and a break for lunch, campers will get to apply what they have learned out on the course (course play when available). During course play our professionals teach strategy, etiquette and course management. The Full Day Camp is designed to create complete golfers and raise their game to the next level. Full Day Camps run Monday through Friday from 9:00am - 4:00pm and are open to players of all abilities, ages 10-15. Please note: Lunch is provided for full day campers each day. Summer Half Day 9:00am-12:00pm/1:00pm-4:00pm This program is designed to pique the interest of new golfers while also offering intermediate golfers the instruction needed to improve. Half day campers receive three hours of instruction each day with emphasis on putting, chipping, bunker play and full swing. Campers rotate between stations and participate in drills, skills challenges, and other games. Half Day Camps run Monday through Friday from 9:00am - 12:00pm and 1:00pm - 4:00pm and are open to players of all abilities, ages 5-15. Please note: Lunch is NOT provided for half day campers each day. Nike Camp Skills Challenge The Nike Camp Challenge is an amazing opportunity for your child to put the skills they’ve learned to the test! After participating in one of the full day summer sessions, our camp director will be putting on a Skills Challenge testing the skills of select campers. The top two winners* of the skills challenge will qualify and compete in an on-course tournament that afternoon. The Skills Challenge will be a competitive event with photo opportunities (parents are welcome to attend!) and chances to win special prizes. *Notes: Only campers who are registered for the Summer Full Day sessions and are selected at camp are eligible for the Skills Challenge.",$579,day,all,open,,,https://www.ussportscamps.com/golf/nike/nike-golf-camp-peacock-gap,FALSE,FALSE,camp,,,medium
