name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Soccer Camp at Brookfield Sports Complex -  (June 15–19, 2026)",soccer,6,16,2026-06-15,2026-06-19,W212N4933 Weyer Rd,Menomonee Falls,WI,53051,"Soccer Skill Schools was voted a Top-10 Nike Soccer Camp in 2024 &amp; 2025 by players and parents! Join us for the Nike Soccer Camp at Brookfield Sports Complex with Kyle Jones, Director of Soccer Skill Schools. This camp welcomes players of all abilities, ages 6-16, to develop and refine their technical skills in a dynamic, competitive environment. It's an exceptional opportunity for any player to train under top coaching professionals while having fun and pushing their game to the next level! Soccer Skill Schools' ""Numbers Approach Methodology"" brings world-class skill development methods from Brazil, Holland, England, and Spain directly to the Midwest. The Soccer Skill School approach focuses on the individual player by guiding each athlete toward complete mastery of the ball, empowering them to make their own creative decisions, and equipping them with 65+ individual skills to win the one-on-one competitions that determine every game's outcome. Led by experienced college coaches and current college players, the Soccer Skill Schools staff brings elite-level expertise and mentorship to every session. Training alongside coaches who compete at the collegiate level gives players invaluable insight into what it takes to elevate their game and succeed at the next level! Hear from Coach Kyle Jones: “We create an environment where players are challenged, supported, and inspired every day. Through high-quality coaching and a love for the game, our goal is to help each athlete build confidence, develop their skills, and leave camp better both on and off the field.”",$435,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-brookfield-sports-complex-wi,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp at Lake Forest Academy - Day Camp I (June 15–19, 2026)",soccer,6,16,2026-06-15,2026-06-19,1500 Kennedy Rd,Lake Forest,IL,60045,"Soccer Skill Schools was voted a Top-10 Nike Soccer Camp in 2024 &amp; 2025 by players and parents! Join us for the Nike Soccer Camp at Lake Forest Academy with Kyle Jones, Director of Soccer Skill Schools. This camp welcomes players of all abilities, ages 6-16, to develop and refine their technical skills in a dynamic, competitive environment. It's an exceptional opportunity for any player to train under top coaching professionals while having fun and pushing their game to the next level! Soccer Skill Schools' ""Numbers Approach Methodology"" brings world-class skill development methods from Brazil, Holland, England, and Spain directly to the Midwest. The Soccer Skill School approach focuses on the individual player by guiding each athlete toward complete mastery of the ball, empowering them to make their own creative decisions, and equipping them with 65+ individual skills to win the one-on-one competitions that determine every game's outcome. Led by experienced college coaches and current college players, the Soccer Skill Schools staff brings elite-level expertise and mentorship to every session. Training alongside coaches who compete at the collegiate level gives players invaluable insight into what it takes to elevate their game and succeed at the next level! Hear from Coach Kyle Jones: “We create an environment where players are challenged, supported, and inspired every day. Through high-quality coaching and a love for the game, our goal is to help each athlete build confidence, develop their skills, and leave camp better both on and off the field.”",$549,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-lake-forest,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp at Lake Forest Academy - Day Camp II (June 29–July 3, 2026)",soccer,6,16,2026-06-29,2026-07-03,1500 Kennedy Rd,Lake Forest,IL,60045,"Soccer Skill Schools was voted a Top-10 Nike Soccer Camp in 2024 &amp; 2025 by players and parents! Join us for the Nike Soccer Camp at Lake Forest Academy with Kyle Jones, Director of Soccer Skill Schools. This camp welcomes players of all abilities, ages 6-16, to develop and refine their technical skills in a dynamic, competitive environment. It's an exceptional opportunity for any player to train under top coaching professionals while having fun and pushing their game to the next level! Soccer Skill Schools' ""Numbers Approach Methodology"" brings world-class skill development methods from Brazil, Holland, England, and Spain directly to the Midwest. The Soccer Skill School approach focuses on the individual player by guiding each athlete toward complete mastery of the ball, empowering them to make their own creative decisions, and equipping them with 65+ individual skills to win the one-on-one competitions that determine every game's outcome. Led by experienced college coaches and current college players, the Soccer Skill Schools staff brings elite-level expertise and mentorship to every session. Training alongside coaches who compete at the collegiate level gives players invaluable insight into what it takes to elevate their game and succeed at the next level! Hear from Coach Kyle Jones: “We create an environment where players are challenged, supported, and inspired every day. Through high-quality coaching and a love for the game, our goal is to help each athlete build confidence, develop their skills, and leave camp better both on and off the field.”",$549,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-lake-forest,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp at Lake Forest Academy - Day Camp III (July 13–17, 2026)",soccer,6,16,2026-07-13,2026-07-17,1500 Kennedy Rd,Lake Forest,IL,60045,"Soccer Skill Schools was voted a Top-10 Nike Soccer Camp in 2024 &amp; 2025 by players and parents! Join us for the Nike Soccer Camp at Lake Forest Academy with Kyle Jones, Director of Soccer Skill Schools. This camp welcomes players of all abilities, ages 6-16, to develop and refine their technical skills in a dynamic, competitive environment. It's an exceptional opportunity for any player to train under top coaching professionals while having fun and pushing their game to the next level! Soccer Skill Schools' ""Numbers Approach Methodology"" brings world-class skill development methods from Brazil, Holland, England, and Spain directly to the Midwest. The Soccer Skill School approach focuses on the individual player by guiding each athlete toward complete mastery of the ball, empowering them to make their own creative decisions, and equipping them with 65+ individual skills to win the one-on-one competitions that determine every game's outcome. Led by experienced college coaches and current college players, the Soccer Skill Schools staff brings elite-level expertise and mentorship to every session. Training alongside coaches who compete at the collegiate level gives players invaluable insight into what it takes to elevate their game and succeed at the next level! Hear from Coach Kyle Jones: “We create an environment where players are challenged, supported, and inspired every day. Through high-quality coaching and a love for the game, our goal is to help each athlete build confidence, develop their skills, and leave camp better both on and off the field.”",$549,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-lake-forest,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp at Oregon State University -  (July 5–9, 2026)",soccer,6,17,2026-07-05,2026-07-09,SW 14th St,Corvallis,OR,33174,"Join us for the Nike Soccer Camp at Oregon State University in Corvallis, Oregon, an immersive overnight soccer camp that has sold out three consecutive years. Set on the beautiful Oregon State campus, this premier residential camp offers the complete college-style experience, combining elite soccer training with engaging off-the-field and social activities. Designed for boys and girls ages 6–17, this co-ed Nike Soccer Camp is led by passionate, experienced coaches committed to helping players accelerate their development. Campers train daily using a blend of modern and traditional coaching methods, focusing on technical skill development, tactical understanding, and confident decision-making in game-like situations. The overnight format allows athletes to fully experience campus life, build friendships, and participate in structured evening activities that complement their soccer training. This balance of high-level coaching and a truly immersive residential experience creates an environment where players grow both as athletes and as individuals. Whether your goal is to improve technical ability, boost soccer IQ, or experience what it’s like to train in a top-tier college soccer environment, the Nike Soccer Camp at Oregon State University delivers a fun, competitive, and unforgettable summer camp experience.",$449-$919,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-oregon-state-university,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp at Oregon State University -  (July 12–16, 2026)",soccer,6,17,2026-07-12,2026-07-16,SW 14th St,Corvallis,OR,33174,"Join us for the Nike Soccer Camp at Oregon State University in Corvallis, Oregon, an immersive overnight soccer camp that has sold out three consecutive years. Set on the beautiful Oregon State campus, this premier residential camp offers the complete college-style experience, combining elite soccer training with engaging off-the-field and social activities. Designed for boys and girls ages 6–17, this co-ed Nike Soccer Camp is led by passionate, experienced coaches committed to helping players accelerate their development. Campers train daily using a blend of modern and traditional coaching methods, focusing on technical skill development, tactical understanding, and confident decision-making in game-like situations. The overnight format allows athletes to fully experience campus life, build friendships, and participate in structured evening activities that complement their soccer training. This balance of high-level coaching and a truly immersive residential experience creates an environment where players grow both as athletes and as individuals. Whether your goal is to improve technical ability, boost soccer IQ, or experience what it’s like to train in a top-tier college soccer environment, the Nike Soccer Camp at Oregon State University delivers a fun, competitive, and unforgettable summer camp experience.",$449-$919,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-oregon-state-university,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp at Oregon State University -  (July 19–23, 2026)",soccer,6,17,2026-07-19,2026-07-23,SW 14th St,Corvallis,OR,33174,"Join us for the Nike Soccer Camp at Oregon State University in Corvallis, Oregon, an immersive overnight soccer camp that has sold out three consecutive years. Set on the beautiful Oregon State campus, this premier residential camp offers the complete college-style experience, combining elite soccer training with engaging off-the-field and social activities. Designed for boys and girls ages 6–17, this co-ed Nike Soccer Camp is led by passionate, experienced coaches committed to helping players accelerate their development. Campers train daily using a blend of modern and traditional coaching methods, focusing on technical skill development, tactical understanding, and confident decision-making in game-like situations. The overnight format allows athletes to fully experience campus life, build friendships, and participate in structured evening activities that complement their soccer training. This balance of high-level coaching and a truly immersive residential experience creates an environment where players grow both as athletes and as individuals. Whether your goal is to improve technical ability, boost soccer IQ, or experience what it’s like to train in a top-tier college soccer environment, the Nike Soccer Camp at Oregon State University delivers a fun, competitive, and unforgettable summer camp experience.",$449-$919,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-oregon-state-university,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp with Player ONE Performance - UC Santa Cruz -  (June 21–25, 2026)",soccer,9,18,2026-06-21,2026-06-25,1156 High Street,Santa Cruz,CA,95064,"Voted the #1 Nike Soccer Camp Director by parents and campers in 2025! (Top-10 in 2023/2024) Designed for coed players ages 9–18, this premier summer camp blends high‑level soccer training with an immersive overnight experience at UC Santa Cruz, creating unmatched development both on and off the field. Hosted at one of Northern California’s most scenic university settings, campers enjoy access to top‑tier soccer facilities, modern residential housing, and outstanding campus amenities. With camp weeks selling out for the past four consecutive summers, demand is high for this unforgettable soccer experience. Player ONE Performance, Northern California’s premier club‑neutral training program since 2017, brings a proven, player‑focused approach built on elite training standards, energy, and attention to detail. Campers train through a professionally crafted curriculum with an intensive focus on technique, intelligent movement, goal‑scoring, game intelligence, and mental preparation. This comprehensive approach gives every player the tools, confidence, and clarity they need to leave camp feeling sharper and more prepared. Whether players are looking to elevate their game, gain confidence, or compete alongside motivated peers, this overnight Nike Soccer Camp at UC Santa Cruz offers a summer experience that is as impactful as it is memorable.",$859-$1059,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-uc-santa-cruz,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp with Player ONE Performance - UC Santa Cruz -  (July 5–9, 2026)",soccer,9,18,2026-07-05,2026-07-09,1156 High Street,Santa Cruz,CA,95064,"Voted the #1 Nike Soccer Camp Director by parents and campers in 2025! (Top-10 in 2023/2024) Designed for coed players ages 9–18, this premier summer camp blends high‑level soccer training with an immersive overnight experience at UC Santa Cruz, creating unmatched development both on and off the field. Hosted at one of Northern California’s most scenic university settings, campers enjoy access to top‑tier soccer facilities, modern residential housing, and outstanding campus amenities. With camp weeks selling out for the past four consecutive summers, demand is high for this unforgettable soccer experience. Player ONE Performance, Northern California’s premier club‑neutral training program since 2017, brings a proven, player‑focused approach built on elite training standards, energy, and attention to detail. Campers train through a professionally crafted curriculum with an intensive focus on technique, intelligent movement, goal‑scoring, game intelligence, and mental preparation. This comprehensive approach gives every player the tools, confidence, and clarity they need to leave camp feeling sharper and more prepared. Whether players are looking to elevate their game, gain confidence, or compete alongside motivated peers, this overnight Nike Soccer Camp at UC Santa Cruz offers a summer experience that is as impactful as it is memorable.",$859-$1059,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-uc-santa-cruz,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp with Player ONE Performance - UC Santa Cruz -  (July 19–23, 2026)",soccer,9,18,2026-07-19,2026-07-23,1156 High Street,Santa Cruz,CA,95064,"Voted the #1 Nike Soccer Camp Director by parents and campers in 2025! (Top-10 in 2023/2024) Designed for coed players ages 9–18, this premier summer camp blends high‑level soccer training with an immersive overnight experience at UC Santa Cruz, creating unmatched development both on and off the field. Hosted at one of Northern California’s most scenic university settings, campers enjoy access to top‑tier soccer facilities, modern residential housing, and outstanding campus amenities. With camp weeks selling out for the past four consecutive summers, demand is high for this unforgettable soccer experience. Player ONE Performance, Northern California’s premier club‑neutral training program since 2017, brings a proven, player‑focused approach built on elite training standards, energy, and attention to detail. Campers train through a professionally crafted curriculum with an intensive focus on technique, intelligent movement, goal‑scoring, game intelligence, and mental preparation. This comprehensive approach gives every player the tools, confidence, and clarity they need to leave camp feeling sharper and more prepared. Whether players are looking to elevate their game, gain confidence, or compete alongside motivated peers, this overnight Nike Soccer Camp at UC Santa Cruz offers a summer experience that is as impactful as it is memorable.",$859-$1059,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-uc-santa-cruz,FALSE,FALSE,camp,,,medium
