name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Tennis Camp at University of Illinois -  (June 7–11, 2026)",tennis,9,18,2026-06-07,2026-06-11,1751 S Goodwin Ave,Urbana,IL,61801,"We are excited for the Nike Tennis Camp at the University of Illinois to return this summer! The University of Illinois Tennis Camp is among the top junior tennis camps in the Midwest. Join Fighting Illini Head Coaches Evan Clark and Brad Dancer for an unforgettable tennis camp experience in Champagne-Urbana! This junior tennis camp in Illinois offers overnight and day tennis camp options for boys and girls, ages 9-18, of all ability levels. Campers will be challenged to learn new skills, improve their tennis game, and create lasting friendships!",$829,day,all,open,,,https://www.ussportscamps.com/tennis/nike/nike-tennis-camp-at-university-of-illinois#session-81068-1215788,FALSE,FALSE,camp,,,medium
"Nike Tennis Camp at University of Illinois -  (June 7–11, 2026)",tennis,9,18,2026-06-07,2026-06-11,1751 S Goodwin Ave,Urbana,IL,61801,"We are excited for the Nike Tennis Camp at the University of Illinois to return this summer! The University of Illinois Tennis Camp is among the top junior tennis camps in the Midwest. Join Fighting Illini Head Coaches Evan Clark and Brad Dancer for an unforgettable tennis camp experience in Champagne-Urbana! This junior tennis camp in Illinois offers overnight and day tennis camp options for boys and girls, ages 9-18, of all ability levels. Campers will be challenged to learn new skills, improve their tennis game, and create lasting friendships!",$1009,day,all,open,,,https://www.ussportscamps.com/tennis/nike/nike-tennis-camp-at-university-of-illinois#session-81068-1215789,FALSE,FALSE,camp,,,medium
"Nike Tennis Camp at University of Illinois -  (June 7–11, 2026)",tennis,9,18,2026-06-07,2026-06-11,1751 S Goodwin Ave,Urbana,IL,61801,"We are excited for the Nike Tennis Camp at the University of Illinois to return this summer! The University of Illinois Tennis Camp is among the top junior tennis camps in the Midwest. Join Fighting Illini Head Coaches Evan Clark and Brad Dancer for an unforgettable tennis camp experience in Champagne-Urbana! This junior tennis camp in Illinois offers overnight and day tennis camp options for boys and girls, ages 9-18, of all ability levels. Campers will be challenged to learn new skills, improve their tennis game, and create lasting friendships!",$1369,day,all,open,,,https://www.ussportscamps.com/tennis/nike/nike-tennis-camp-at-university-of-illinois#session-81068-1215787,FALSE,FALSE,camp,,,medium
"Nike Tennis Camp at University of Illinois -  (June 7–15, 2026)",tennis,9,18,2026-06-07,2026-06-15,1751 S Goodwin Ave,Urbana,IL,61801,"We are excited for the Nike Tennis Camp at the University of Illinois to return this summer! The University of Illinois Tennis Camp is among the top junior tennis camps in the Midwest. Join Fighting Illini Head Coaches Evan Clark and Brad Dancer for an unforgettable tennis camp experience in Champagne-Urbana! This junior tennis camp in Illinois offers overnight and day tennis camp options for boys and girls, ages 9-18, of all ability levels. Campers will be challenged to learn new skills, improve their tennis game, and create lasting friendships!",$1405,day,all,open,,,https://www.ussportscamps.com/tennis/nike/nike-tennis-camp-at-university-of-illinois#session-85031-1221224,FALSE,FALSE,camp,,,medium
"Nike Tennis Camp at University of Illinois -  (June 7–15, 2026)",tennis,9,18,2026-06-07,2026-06-15,1751 S Goodwin Ave,Urbana,IL,61801,"We are excited for the Nike Tennis Camp at the University of Illinois to return this summer! The University of Illinois Tennis Camp is among the top junior tennis camps in the Midwest. Join Fighting Illini Head Coaches Evan Clark and Brad Dancer for an unforgettable tennis camp experience in Champagne-Urbana! This junior tennis camp in Illinois offers overnight and day tennis camp options for boys and girls, ages 9-18, of all ability levels. Campers will be challenged to learn new skills, improve their tennis game, and create lasting friendships!",$1705,day,all,open,,,https://www.ussportscamps.com/tennis/nike/nike-tennis-camp-at-university-of-illinois#session-85031-1221225,FALSE,FALSE,camp,,,medium
"Nike Tennis Camp at University of Illinois -  (June 7–15, 2026)",tennis,9,18,2026-06-07,2026-06-15,1751 S Goodwin Ave,Urbana,IL,61801,"We are excited for the Nike Tennis Camp at the University of Illinois to return this summer! The University of Illinois Tennis Camp is among the top junior tennis camps in the Midwest. Join Fighting Illini Head Coaches Evan Clark and Brad Dancer for an unforgettable tennis camp experience in Champagne-Urbana! This junior tennis camp in Illinois offers overnight and day tennis camp options for boys and girls, ages 9-18, of all ability levels. Campers will be challenged to learn new skills, improve their tennis game, and create lasting friendships!",$2369,day,all,open,,,https://www.ussportscamps.com/tennis/nike/nike-tennis-camp-at-university-of-illinois#session-85031-1221223,FALSE,FALSE,camp,,,medium
"Nike Tennis Camp at University of Illinois -  (June 11–15, 2026)",tennis,9,18,2026-06-11,2026-06-15,1751 S Goodwin Ave,Urbana,IL,61801,"We are excited for the Nike Tennis Camp at the University of Illinois to return this summer! The University of Illinois Tennis Camp is among the top junior tennis camps in the Midwest. Join Fighting Illini Head Coaches Evan Clark and Brad Dancer for an unforgettable tennis camp experience in Champagne-Urbana! This junior tennis camp in Illinois offers overnight and day tennis camp options for boys and girls, ages 9-18, of all ability levels. Campers will be challenged to learn new skills, improve their tennis game, and create lasting friendships!",$829,day,all,open,,,https://www.ussportscamps.com/tennis/nike/nike-tennis-camp-at-university-of-illinois#session-81069-1215791,FALSE,FALSE,camp,,,medium
"Nike Tennis Camp at University of Illinois -  (June 11–15, 2026)",tennis,9,18,2026-06-11,2026-06-15,1751 S Goodwin Ave,Urbana,IL,61801,"We are excited for the Nike Tennis Camp at the University of Illinois to return this summer! The University of Illinois Tennis Camp is among the top junior tennis camps in the Midwest. Join Fighting Illini Head Coaches Evan Clark and Brad Dancer for an unforgettable tennis camp experience in Champagne-Urbana! This junior tennis camp in Illinois offers overnight and day tennis camp options for boys and girls, ages 9-18, of all ability levels. Campers will be challenged to learn new skills, improve their tennis game, and create lasting friendships!",$1009,day,all,open,,,https://www.ussportscamps.com/tennis/nike/nike-tennis-camp-at-university-of-illinois#session-81069-1215792,FALSE,FALSE,camp,,,medium
"Nike Tennis Camp at University of Illinois -  (June 11–15, 2026)",tennis,9,18,2026-06-11,2026-06-15,1751 S Goodwin Ave,Urbana,IL,61801,"We are excited for the Nike Tennis Camp at the University of Illinois to return this summer! The University of Illinois Tennis Camp is among the top junior tennis camps in the Midwest. Join Fighting Illini Head Coaches Evan Clark and Brad Dancer for an unforgettable tennis camp experience in Champagne-Urbana! This junior tennis camp in Illinois offers overnight and day tennis camp options for boys and girls, ages 9-18, of all ability levels. Campers will be challenged to learn new skills, improve their tennis game, and create lasting friendships!",$1369,day,all,open,,,https://www.ussportscamps.com/tennis/nike/nike-tennis-camp-at-university-of-illinois#session-81069-1215790,FALSE,FALSE,camp,,,medium
"Nike Tennis Camp at University of Illinois -  (June 11–19, 2026)",tennis,9,18,2026-06-11,2026-06-19,1751 S Goodwin Ave,Urbana,IL,61801,"We are excited for the Nike Tennis Camp at the University of Illinois to return this summer! The University of Illinois Tennis Camp is among the top junior tennis camps in the Midwest. Join Fighting Illini Head Coaches Evan Clark and Brad Dancer for an unforgettable tennis camp experience in Champagne-Urbana! This junior tennis camp in Illinois offers overnight and day tennis camp options for boys and girls, ages 9-18, of all ability levels. Campers will be challenged to learn new skills, improve their tennis game, and create lasting friendships!",$1405,day,all,open,,,https://www.ussportscamps.com/tennis/nike/nike-tennis-camp-at-university-of-illinois#session-85032-1221227,FALSE,FALSE,camp,,,medium
