name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Volleyball Camp at Helix Charter High School (San Diego) - All Skills Camp (June 29–July 3, 2026)",volleyball,10,15,2026-06-29,2026-07-03,4200 Lowell St,La Mesa (San Diego),CA,91942,"Kick off summer 2026 with our fun and energetic volleyball camp at Helix Charter High School! Designed for girls ages 10–17, this camp welcomes athletes from across Southern California who want to level up their game in a positive and engaging setting. Under the guidance of Nike Camp Director Zoe Varela Beltz, players will learn key skills, practice new techniques, and gain confidence through focused instruction and exciting gameplay. Whether you're gearing up for the season or simply love the sport, this La Mesa volleyball camp is a great place to grow, compete, and make new friends this summer! HONORABLE MENTION IN THE 2025 TOP 10 NIKE VOLLEYBALL CAMPS. The Top-Rated Camp &amp; Director Awards recognize and celebrate directors who deliver exceptional, BEST-IN-CLASS experiences for both campers and parents. Winners are determined through a detailed analysis of thousands of post-camp parent reviews, with the goal of amplifying positive word-of-mouth, boosting camp enrollment, and reinforcing parents’ confidence that their investment was worthwhile.",$728,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-la-mesa,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Helix Charter High School (San Diego) - All Skills Camp (July 6–10, 2026)",volleyball,10,15,2026-07-06,2026-07-10,4200 Lowell St,La Mesa (San Diego),CA,91942,"Kick off summer 2026 with our fun and energetic volleyball camp at Helix Charter High School! Designed for girls ages 10–17, this camp welcomes athletes from across Southern California who want to level up their game in a positive and engaging setting. Under the guidance of Nike Camp Director Zoe Varela Beltz, players will learn key skills, practice new techniques, and gain confidence through focused instruction and exciting gameplay. Whether you're gearing up for the season or simply love the sport, this La Mesa volleyball camp is a great place to grow, compete, and make new friends this summer! HONORABLE MENTION IN THE 2025 TOP 10 NIKE VOLLEYBALL CAMPS. The Top-Rated Camp &amp; Director Awards recognize and celebrate directors who deliver exceptional, BEST-IN-CLASS experiences for both campers and parents. Winners are determined through a detailed analysis of thousands of post-camp parent reviews, with the goal of amplifying positive word-of-mouth, boosting camp enrollment, and reinforcing parents’ confidence that their investment was worthwhile.",$728,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-la-mesa,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Helix Charter High School (San Diego) - Advanced Camp (July 13–17, 2026)",volleyball,14,18,2026-07-13,2026-07-17,4200 Lowell St,La Mesa (San Diego),CA,91942,"Kick off summer 2026 with our fun and energetic volleyball camp at Helix Charter High School! Designed for girls ages 10–17, this camp welcomes athletes from across Southern California who want to level up their game in a positive and engaging setting. Under the guidance of Nike Camp Director Zoe Varela Beltz, players will learn key skills, practice new techniques, and gain confidence through focused instruction and exciting gameplay. Whether you're gearing up for the season or simply love the sport, this La Mesa volleyball camp is a great place to grow, compete, and make new friends this summer! HONORABLE MENTION IN THE 2025 TOP 10 NIKE VOLLEYBALL CAMPS. The Top-Rated Camp &amp; Director Awards recognize and celebrate directors who deliver exceptional, BEST-IN-CLASS experiences for both campers and parents. Winners are determined through a detailed analysis of thousands of post-camp parent reviews, with the goal of amplifying positive word-of-mouth, boosting camp enrollment, and reinforcing parents’ confidence that their investment was worthwhile.",$728,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-la-mesa,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Webster University - All Skills (June 21–23, 2026)",volleyball,12,18,2026-06-21,2026-06-23,175 Edgar Rd,St. Louis,MO,63119,"Experience a week of high-level volleyball training in the summer of 2026 at Webster University in Missouri! Open to girls ages 12–18, this camp gives athletes the chance to learn from Head Coach Merry Graf and her accomplished coaching staff. With overnight and day camp options, players can choose the program that fits their needs. All-skills, elite, and position-focused sessions allow athletes to develop at their own pace while improving technique, game knowledge, and confidence. It’s the perfect setting to grow your skills, meet new teammates, and enjoy a memorable volleyball experience.",$585-$655,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-webster-university,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Webster University - Elite (June 23–24, 2026)",volleyball,15,18,2026-06-23,2026-06-24,175 Edgar Rd,St. Louis,MO,63119,"Experience a week of high-level volleyball training in the summer of 2026 at Webster University in Missouri! Open to girls ages 12–18, this camp gives athletes the chance to learn from Head Coach Merry Graf and her accomplished coaching staff. With overnight and day camp options, players can choose the program that fits their needs. All-skills, elite, and position-focused sessions allow athletes to develop at their own pace while improving technique, game knowledge, and confidence. It’s the perfect setting to grow your skills, meet new teammates, and enjoy a memorable volleyball experience.",$299-$359,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-webster-university,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Webster University - Defense Clinic (July 27, 2026)",volleyball,12,18,2026-07-27,2026-07-27,175 Edgar Rd,St. Louis,MO,63119,"Experience a week of high-level volleyball training in the summer of 2026 at Webster University in Missouri! Open to girls ages 12–18, this camp gives athletes the chance to learn from Head Coach Merry Graf and her accomplished coaching staff. With overnight and day camp options, players can choose the program that fits their needs. All-skills, elite, and position-focused sessions allow athletes to develop at their own pace while improving technique, game knowledge, and confidence. It’s the perfect setting to grow your skills, meet new teammates, and enjoy a memorable volleyball experience.",$99,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-webster-university,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Webster University - Setting Clinic (July 27, 2026)",volleyball,12,18,2026-07-27,2026-07-27,175 Edgar Rd,St. Louis,MO,63119,"Experience a week of high-level volleyball training in the summer of 2026 at Webster University in Missouri! Open to girls ages 12–18, this camp gives athletes the chance to learn from Head Coach Merry Graf and her accomplished coaching staff. With overnight and day camp options, players can choose the program that fits their needs. All-skills, elite, and position-focused sessions allow athletes to develop at their own pace while improving technique, game knowledge, and confidence. It’s the perfect setting to grow your skills, meet new teammates, and enjoy a memorable volleyball experience.",$99,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-webster-university,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Webster University - Serving & Passing Clinic (July 28, 2026)",volleyball,12,18,2026-07-28,2026-07-28,175 Edgar Rd,St. Louis,MO,63119,"Experience a week of high-level volleyball training in the summer of 2026 at Webster University in Missouri! Open to girls ages 12–18, this camp gives athletes the chance to learn from Head Coach Merry Graf and her accomplished coaching staff. With overnight and day camp options, players can choose the program that fits their needs. All-skills, elite, and position-focused sessions allow athletes to develop at their own pace while improving technique, game knowledge, and confidence. It’s the perfect setting to grow your skills, meet new teammates, and enjoy a memorable volleyball experience.",$99,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-webster-university,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Webster University - Hitting Clinic (July 28, 2026)",volleyball,12,18,2026-07-28,2026-07-28,175 Edgar Rd,St. Louis,MO,63119,"Experience a week of high-level volleyball training in the summer of 2026 at Webster University in Missouri! Open to girls ages 12–18, this camp gives athletes the chance to learn from Head Coach Merry Graf and her accomplished coaching staff. With overnight and day camp options, players can choose the program that fits their needs. All-skills, elite, and position-focused sessions allow athletes to develop at their own pace while improving technique, game knowledge, and confidence. It’s the perfect setting to grow your skills, meet new teammates, and enjoy a memorable volleyball experience.",$99,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-webster-university,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Embry Riddle University - All Skills Camp (July 6–8, 2026)",volleyball,9,16,2026-07-06,2026-07-08,3700 Willow Creek Rd,Prescott,AZ,86301,"Join us this summer at Embry Riddle University in Arizona for fun and learning on the court! Campers of all abilities will train with Head Volleyball Coach at New Mexico Highlands University, Meg Grose, while enjoying a supportive and exciting atmosphere. Open to girls, ages 9-18, this camp in Prescott is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out—sign up today!",$479-$599,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-embry-riddle,FALSE,FALSE,camp,,,medium
